Label (Grouping),Median income (dollars)
    Households,
        Estimate,"90,261"
        Margin of Error,"±10,533"
    Families,
        Estimate,"97,419"
        Margin of Error,"±26,838"
    Married-couple families,
        Estimate,"117,083"
        Margin of Error,"±17,602"
    Nonfamily households,
        Estimate,"66,917"
        Margin of Error,"±23,793"
"Census Tract 2754, Los Angeles County, California",
    Households,
        Estimate,"137,027"
        Margin of Error,"±14,083"
    Families,
        Estimate,"158,750"
        Margin of Error,"±59,143"
    Married-couple families,
        Estimate,"199,615"
        Margin of Error,"±25,955"
    Nonfamily households,
        Estimate,"127,125"
        Margin of Error,"±25,390"
"Census Tract 2755, Los Angeles County, California",
    Households,
        Estimate,"42,544"
        Margin of Error,"±9,617"
    Families,
        Estimate,"43,365"
        Margin of Error,"±8,584"
    Married-couple families,
        Estimate,"46,806"
        Margin of Error,"±25,160"
    Nonfamily households,
        Estimate,"34,602"
        Margin of Error,"±10,841"
"Census Tract 2756.02, Los Angeles County, California",
    Households,
        Estimate,"148,965"
        Margin of Error,"±11,619"
    Families,
        Estimate,"212,242"
        Margin of Error,"±26,175"
    Married-couple families,
        Estimate,"236,750"
        Margin of Error,"±21,515"
    Nonfamily households,
        Estimate,"93,224"
        Margin of Error,"±25,207"
"Census Tract 2756.03, Los Angeles County, California",
    Households,
        Estimate,"84,130"
        Margin of Error,"±23,659"
    Families,
        Estimate,"132,031"
        Margin of Error,"±27,280"
    Married-couple families,
        Estimate,"136,806"
        Margin of Error,"±29,664"
    Nonfamily households,
        Estimate,"54,821"
        Margin of Error,"±19,915"
"Census Tract 2760, Los Angeles County, California",
    Households,
        Estimate,"144,688"
        Margin of Error,"±17,808"
    Families,
        Estimate,"168,665"
        Margin of Error,"±12,892"
    Married-couple families,
        Estimate,"169,091"
        Margin of Error,"±10,676"
    Nonfamily households,
        Estimate,"101,716"
        Margin of Error,"±20,800"
"Census Tract 2761, Los Angeles County, California",
    Households,
        Estimate,"66,520"
        Margin of Error,"±23,947"
    Families,
        Estimate,"103,333"
        Margin of Error,"±46,057"
    Married-couple families,
        Estimate,"137,232"
        Margin of Error,"±40,814"
    Nonfamily households,
        Estimate,"58,456"
        Margin of Error,"±20,702"
"Census Tract 2764, Los Angeles County, California",
    Households,
        Estimate,"158,056"
        Margin of Error,"±26,017"
    Families,
        Estimate,"202,396"
        Margin of Error,"±25,954"
    Married-couple families,
        Estimate,"217,083"
        Margin of Error,"±16,762"
    Nonfamily households,
        Estimate,"49,333"
        Margin of Error,"±34,769"
"Census Tract 2765, Los Angeles County, California",
    Households,
        Estimate,"91,667"
        Margin of Error,"±35,821"
    Families,
        Estimate,"144,559"
        Margin of Error,"±40,080"
    Married-couple families,
        Estimate,"148,906"
        Margin of Error,"±71,846"
    Nonfamily households,
        Estimate,"48,500"
        Margin of Error,"±24,373"
"Census Tract 2766.01, Los Angeles County, California",
    Households,
        Estimate,"138,929"
        Margin of Error,"±28,046"
    Families,
        Estimate,"157,944"
        Margin of Error,"±25,928"
    Married-couple families,
        Estimate,"161,146"
        Margin of Error,"±38,195"
    Nonfamily households,
        Estimate,"95,469"
        Margin of Error,"±36,370"
"Census Tract 2766.03, Los Angeles County, California",
    Households,
        Estimate,"90,375"
        Margin of Error,"±23,269"
    Families,
        Estimate,"78,173"
        Margin of Error,"±37,520"
    Married-couple families,
        Estimate,"103,077"
        Margin of Error,"±28,151"
    Nonfamily households,
        Estimate,"90,096"
        Margin of Error,"±24,833"
"Census Tract 2766.04, Los Angeles County, California",
    Households,
        Estimate,"93,525"
        Margin of Error,"±16,172"
    Families,
        Estimate,"97,306"
        Margin of Error,"±42,484"
    Married-couple families,
        Estimate,"149,676"
        Margin of Error,"±74,556"
    Nonfamily households,
        Estimate,"85,873"
        Margin of Error,"±24,987"
"Census Tract 2770, Los Angeles County, California",
    Households,
        Estimate,"137,961"
        Margin of Error,"±28,606"
    Families,
        Estimate,"162,670"
        Margin of Error,"±55,377"
    Married-couple families,
        Estimate,"200,798"
        Margin of Error,"±53,844"
    Nonfamily households,
        Estimate,"71,250"
        Margin of Error,"±26,204"
"Census Tract 2771, Los Angeles County, California",
    Households,
        Estimate,"124,219"
        Margin of Error,"±37,274"
    Families,
        Estimate,"131,875"
        Margin of Error,"±32,396"
    Married-couple families,
        Estimate,"150,859"
        Margin of Error,"±27,586"
    Nonfamily households,
        Estimate,"89,659"
        Margin of Error,"±40,223"
"Census Tract 2772, Los Angeles County, California",
    Households,
        Estimate,"60,179"
        Margin of Error,"±18,373"
    Families,
        Estimate,"77,885"
        Margin of Error,"±16,236"
    Married-couple families,
        Estimate,"105,156"
        Margin of Error,"±61,181"
    Nonfamily households,
        Estimate,"51,027"
        Margin of Error,"±9,470"
"Census Tract 2774, Los Angeles County, California",
    Households,
        Estimate,"43,264"
        Margin of Error,"±15,159"
    Families,
        Estimate,"56,304"
        Margin of Error,"±22,040"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"16,908"
        Margin of Error,"±11,024"
"Census Tract 2780.01, Los Angeles County, California",
    Households,
        Estimate,"109,468"
        Margin of Error,"±18,995"
    Families,
        Estimate,"141,296"
        Margin of Error,"±13,309"
    Married-couple families,
        Estimate,"157,000"
        Margin of Error,"±32,371"
    Nonfamily households,
        Estimate,"40,795"
        Margin of Error,"±35,343"
"Census Tract 2781.02, Los Angeles County, California",
    Households,
        Estimate,"148,182"
        Margin of Error,"±36,646"
    Families,
        Estimate,"227,083"
        Margin of Error,"±33,859"
    Married-couple families,
        Estimate,"231,250"
        Margin of Error,"±28,884"
    Nonfamily households,
        Estimate,"113,661"
        Margin of Error,"±29,708"
"Census Tract 2911.10, Los Angeles County, California",
    Households,
        Estimate,"43,544"
        Margin of Error,"±6,470"
    Families,
        Estimate,"47,316"
        Margin of Error,"±9,656"
    Married-couple families,
        Estimate,"73,000"
        Margin of Error,"±14,358"
    Nonfamily households,
        Estimate,"23,147"
        Margin of Error,"±10,156"
"Census Tract 2911.20, Los Angeles County, California",
    Households,
        Estimate,"53,393"
        Margin of Error,"±10,719"
    Families,
        Estimate,"60,577"
        Margin of Error,"±8,091"
    Married-couple families,
        Estimate,"81,705"
        Margin of Error,"±12,930"
    Nonfamily households,
        Estimate,"45,577"
        Margin of Error,"±21,635"
"Census Tract 2911.30, Los Angeles County, California",
    Households,
        Estimate,"67,587"
        Margin of Error,"±4,868"
    Families,
        Estimate,"69,080"
        Margin of Error,"±4,293"
    Married-couple families,
        Estimate,"69,888"
        Margin of Error,"±16,533"
    Nonfamily households,
        Estimate,"19,118"
        Margin of Error,"±16,425"
"Census Tract 2912.10, Los Angeles County, California",
    Households,
        Estimate,"61,277"
        Margin of Error,"±7,815"
    Families,
        Estimate,"64,559"
        Margin of Error,"±14,132"
    Married-couple families,
        Estimate,"84,583"
        Margin of Error,"±15,626"
    Nonfamily households,
        Estimate,"25,066"
        Margin of Error,"±8,405"
"Census Tract 2912.20, Los Angeles County, California",
    Households,
        Estimate,"50,260"
        Margin of Error,"±10,443"
    Families,
        Estimate,"53,550"
        Margin of Error,"±11,514"
    Married-couple families,
        Estimate,"58,911"
        Margin of Error,"±9,473"
    Nonfamily households,
        Estimate,"22,188"
        Margin of Error,"±12,744"
"Census Tract 2913, Los Angeles County, California",
    Households,
        Estimate,"81,281"
        Margin of Error,"±11,317"
    Families,
        Estimate,"106,250"
        Margin of Error,"±14,648"
    Married-couple families,
        Estimate,"111,042"
        Margin of Error,"±28,889"
    Nonfamily households,
        Estimate,"43,266"
        Margin of Error,"±9,958"
"Census Tract 2920, Los Angeles County, California",
    Households,
        Estimate,"42,135"
        Margin of Error,"±9,442"
    Families,
        Estimate,"46,698"
        Margin of Error,"±17,219"
    Married-couple families,
        Estimate,"65,147"
        Margin of Error,"±20,544"
    Nonfamily households,
        Estimate,"37,188"
        Margin of Error,"±5,769"
"Census Tract 2932.01, Los Angeles County, California",
    Households,
        Estimate,"64,273"
        Margin of Error,"±9,764"
    Families,
        Estimate,"59,128"
        Margin of Error,"±10,167"
    Married-couple families,
        Estimate,"77,530"
        Margin of Error,"±19,082"
    Nonfamily households,
        Estimate,"71,125"
        Margin of Error,"±35,207"
"Census Tract 2932.02, Los Angeles County, California",
    Households,
        Estimate,"42,877"
        Margin of Error,"±5,817"
    Families,
        Estimate,"41,761"
        Margin of Error,"±8,867"
    Married-couple families,
        Estimate,"52,361"
        Margin of Error,"±15,844"
    Nonfamily households,
        Estimate,"41,000"
        Margin of Error,"±11,688"
"Census Tract 2933.01, Los Angeles County, California",
    Households,
        Estimate,"83,768"
        Margin of Error,"±6,317"
    Families,
        Estimate,"83,668"
        Margin of Error,"±7,665"
    Married-couple families,
        Estimate,"87,656"
        Margin of Error,"±16,628"
    Nonfamily households,
        Estimate,"82,614"
        Margin of Error,"±6,760"
"Census Tract 2933.02, Los Angeles County, California",
    Households,
        Estimate,"83,955"
        Margin of Error,"±13,064"
    Families,
        Estimate,"88,487"
        Margin of Error,"±17,845"
    Married-couple families,
        Estimate,"101,382"
        Margin of Error,"±12,287"
    Nonfamily households,
        Estimate,"62,917"
        Margin of Error,"±31,972"
"Census Tract 2933.04, Los Angeles County, California",
    Households,
        Estimate,"63,150"
        Margin of Error,"±5,813"
    Families,
        Estimate,"64,525"
        Margin of Error,"±6,058"
    Married-couple families,
        Estimate,"64,872"
        Margin of Error,"±10,371"
    Nonfamily households,
        Estimate,"48,472"
        Margin of Error,"±15,428"
"Census Tract 2933.06, Los Angeles County, California",
    Households,
        Estimate,"100,200"
        Margin of Error,"±10,905"
    Families,
        Estimate,"106,875"
        Margin of Error,"±20,649"
    Married-couple families,
        Estimate,"110,938"
        Margin of Error,"±25,109"
    Nonfamily households,
        Estimate,"49,250"
        Margin of Error,"±46,750"
"Census Tract 2933.07, Los Angeles County, California",
    Households,
        Estimate,"51,379"
        Margin of Error,"±10,293"
    Families,
        Estimate,"55,625"
        Margin of Error,"±12,256"
    Married-couple families,
        Estimate,"71,667"
        Margin of Error,"±25,664"
    Nonfamily households,
        Estimate,"42,321"
        Margin of Error,"±16,652"
"Census Tract 2941.10, Los Angeles County, California",
    Households,
        Estimate,"51,011"
        Margin of Error,"±12,130"
    Families,
        Estimate,"40,972"
        Margin of Error,"±15,470"
    Married-couple families,
        Estimate,"52,292"
        Margin of Error,"±44,660"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 2941.20, Los Angeles County, California",
    Households,
        Estimate,"57,159"
        Margin of Error,"±17,774"
    Families,
        Estimate,"56,477"
        Margin of Error,"±14,507"
    Married-couple families,
        Estimate,"70,313"
        Margin of Error,"±29,675"
    Nonfamily households,
        Estimate,"18,182"
        Margin of Error,"±14,476"
"Census Tract 2942, Los Angeles County, California",
    Households,
        Estimate,"70,272"
        Margin of Error,"±14,374"
    Families,
        Estimate,"73,824"
        Margin of Error,"±12,197"
    Married-couple families,
        Estimate,"84,018"
        Margin of Error,"±12,835"
    Nonfamily households,
        Estimate,"44,250"
        Margin of Error,"±27,178"
"Census Tract 2943.01, Los Angeles County, California",
    Households,
        Estimate,"65,870"
        Margin of Error,"±3,856"
    Families,
        Estimate,"65,852"
        Margin of Error,"±5,747"
    Married-couple families,
        Estimate,"71,250"
        Margin of Error,"±21,780"
    Nonfamily households,
        Estimate,"28,664"
        Margin of Error,"±26,329"
"Census Tract 2943.02, Los Angeles County, California",
    Households,
        Estimate,"55,313"
        Margin of Error,"±9,838"
    Families,
        Estimate,"58,967"
        Margin of Error,"±5,995"
    Married-couple families,
        Estimate,"64,276"
        Margin of Error,"±17,747"
    Nonfamily households,
        Estimate,"42,269"
        Margin of Error,"±12,414"
"Census Tract 2944.10, Los Angeles County, California",
    Households,
        Estimate,"50,926"
        Margin of Error,"±7,605"
    Families,
        Estimate,"52,404"
        Margin of Error,"±10,233"
    Married-couple families,
        Estimate,"74,853"
        Margin of Error,"±22,647"
    Nonfamily households,
        Estimate,"28,333"
        Margin of Error,"±21,324"
"Census Tract 2944.21, Los Angeles County, California",
    Households,
        Estimate,"47,917"
        Margin of Error,"±11,474"
    Families,
        Estimate,"43,464"
        Margin of Error,"±10,042"
    Married-couple families,
        Estimate,"56,071"
        Margin of Error,"±17,653"
    Nonfamily households,
        Estimate,"31,471"
        Margin of Error,"±19,389"
"Census Tract 2945.10, Los Angeles County, California",
    Households,
        Estimate,"49,979"
        Margin of Error,"±12,251"
    Families,
        Estimate,"55,259"
        Margin of Error,"±12,432"
    Married-couple families,
        Estimate,"52,422"
        Margin of Error,"±11,945"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 2945.20, Los Angeles County, California",
    Households,
        Estimate,"50,732"
        Margin of Error,"±8,313"
    Families,
        Estimate,"60,202"
        Margin of Error,"±18,535"
    Married-couple families,
        Estimate,"66,316"
        Margin of Error,"±10,115"
    Nonfamily households,
        Estimate,"26,076"
        Margin of Error,"±4,238"
"Census Tract 2946.10, Los Angeles County, California",
    Households,
        Estimate,"49,773"
        Margin of Error,"±12,527"
    Families,
        Estimate,"54,712"
        Margin of Error,"±24,750"
    Married-couple families,
        Estimate,"74,762"
        Margin of Error,"±18,069"
    Nonfamily households,
        Estimate,"25,179"
        Margin of Error,"±17,614"
"Census Tract 2946.20, Los Angeles County, California",
    Households,
        Estimate,"44,148"
        Margin of Error,"±9,985"
    Families,
        Estimate,"52,642"
        Margin of Error,"±13,273"
    Married-couple families,
        Estimate,"55,625"
        Margin of Error,"±16,147"
    Nonfamily households,
        Estimate,"26,111"
        Margin of Error,"±9,871"
"Census Tract 2947.01, Los Angeles County, California",
    Households,
        Estimate,"36,719"
        Margin of Error,"±8,139"
    Families,
        Estimate,"41,471"
        Margin of Error,"±6,235"
    Married-couple families,
        Estimate,"53,239"
        Margin of Error,"±4,196"
    Nonfamily households,
        Estimate,"20,750"
        Margin of Error,"±10,700"
"Census Tract 2948.10, Los Angeles County, California",
    Households,
        Estimate,"49,952"
        Margin of Error,"±7,387"
    Families,
        Estimate,"46,413"
        Margin of Error,"±6,167"
    Married-couple families,
        Estimate,"49,423"
        Margin of Error,"±10,750"
    Nonfamily households,
        Estimate,"32,614"
        Margin of Error,"±29,552"
"Census Tract 2948.20, Los Angeles County, California",
    Households,
        Estimate,"39,400"
        Margin of Error,"±4,907"
    Families,
        Estimate,"37,422"
        Margin of Error,"±5,444"
    Married-couple families,
        Estimate,"41,492"
        Margin of Error,"±4,745"
    Nonfamily households,
        Estimate,"22,083"
        Margin of Error,"±9,065"
"Census Tract 2948.30, Los Angeles County, California",
    Households,
        Estimate,"44,527"
        Margin of Error,"±9,512"
    Families,
        Estimate,"47,841"
        Margin of Error,"±11,683"
    Married-couple families,
        Estimate,"44,688"
        Margin of Error,"±10,816"
    Nonfamily households,
        Estimate,"26,806"
        Margin of Error,"±14,091"
"Census Tract 2949, Los Angeles County, California",
    Households,
        Estimate,"42,150"
        Margin of Error,"±8,633"
    Families,
        Estimate,"42,414"
        Margin of Error,"±9,102"
    Married-couple families,
        Estimate,"48,125"
        Margin of Error,"±11,642"
    Nonfamily households,
        Estimate,"12,039"
        Margin of Error,"±1,417"
"Census Tract 2951.03, Los Angeles County, California",
    Households,
        Estimate,"124,663"
        Margin of Error,"±11,563"
    Families,
        Estimate,"140,875"
        Margin of Error,"±26,896"
    Married-couple families,
        Estimate,"147,099"
        Margin of Error,"±17,089"
    Nonfamily households,
        Estimate,"67,667"
        Margin of Error,"±41,314"
"Census Tract 2962.10, Los Angeles County, California",
    Households,
        Estimate,"40,145"
        Margin of Error,"±10,696"
    Families,
        Estimate,"36,833"
        Margin of Error,"±10,426"
    Married-couple families,
        Estimate,"58,625"
        Margin of Error,"±18,769"
    Nonfamily households,
        Estimate,"30,938"
        Margin of Error,"±6,432"
"Census Tract 2962.20, Los Angeles County, California",
    Households,
        Estimate,"30,020"
        Margin of Error,"±6,288"
    Families,
        Estimate,"33,582"
        Margin of Error,"±10,056"
    Married-couple families,
        Estimate,"39,188"
        Margin of Error,"±26,645"
    Nonfamily households,
        Estimate,"16,689"
        Margin of Error,"±8,427"
"Census Tract 2963, Los Angeles County, California",
    Households,
        Estimate,"80,718"
        Margin of Error,"±7,216"
    Families,
        Estimate,"96,520"
        Margin of Error,"±21,639"
    Married-couple families,
        Estimate,"117,411"
        Margin of Error,"±16,610"
    Nonfamily households,
        Estimate,"69,637"
        Margin of Error,"±21,089"
"Census Tract 2964.01, Los Angeles County, California",
    Households,
        Estimate,"92,571"
        Margin of Error,"±16,671"
    Families,
        Estimate,"110,365"
        Margin of Error,"±27,915"
    Married-couple families,
        Estimate,"115,901"
        Margin of Error,"±8,216"
    Nonfamily households,
        Estimate,"58,875"
        Margin of Error,"±23,205"
"Census Tract 2964.02, Los Angeles County, California",
    Households,
        Estimate,"108,929"
        Margin of Error,"±31,174"
    Families,
        Estimate,"129,273"
        Margin of Error,"±16,059"
    Married-couple families,
        Estimate,"139,500"
        Margin of Error,"±8,778"
    Nonfamily households,
        Estimate,"42,841"
        Margin of Error,"±17,085"
"Census Tract 2965, Los Angeles County, California",
    Households,
        Estimate,"35,870"
        Margin of Error,"±9,920"
    Families,
        Estimate,"42,500"
        Margin of Error,"±11,976"
    Married-couple families,
        Estimate,"62,639"
        Margin of Error,"±48,610"
    Nonfamily households,
        Estimate,"26,607"
        Margin of Error,"±8,315"
"Census Tract 2966, Los Angeles County, California",
    Households,
        Estimate,"40,607"
        Margin of Error,"±6,242"
    Families,
        Estimate,"45,980"
        Margin of Error,"±7,585"
    Married-couple families,
        Estimate,"67,634"
        Margin of Error,"±23,334"
    Nonfamily households,
        Estimate,"30,050"
        Margin of Error,"±9,589"
"Census Tract 2969.01, Los Angeles County, California",
    Households,
        Estimate,"40,913"
        Margin of Error,"±11,667"
    Families,
        Estimate,"39,605"
        Margin of Error,"±13,356"
    Married-couple families,
        Estimate,"71,250"
        Margin of Error,"±25,154"
    Nonfamily households,
        Estimate,"37,679"
        Margin of Error,"±22,873"
"Census Tract 2969.02, Los Angeles County, California",
    Households,
        Estimate,"52,585"
        Margin of Error,"±7,645"
    Families,
        Estimate,"58,952"
        Margin of Error,"±12,021"
    Married-couple families,
        Estimate,"72,650"
        Margin of Error,"±28,145"
    Nonfamily households,
        Estimate,"36,800"
        Margin of Error,"±9,917"
"Census Tract 2970, Los Angeles County, California",
    Households,
        Estimate,"110,699"
        Margin of Error,"±26,855"
    Families,
        Estimate,"141,250"
        Margin of Error,"±21,424"
    Married-couple families,
        Estimate,"144,423"
        Margin of Error,"±15,709"
    Nonfamily households,
        Estimate,"61,591"
        Margin of Error,"±21,363"
"Census Tract 2971.10, Los Angeles County, California",
    Households,
        Estimate,"40,000"
        Margin of Error,"±7,158"
    Families,
        Estimate,"44,907"
        Margin of Error,"±14,231"
    Married-couple families,
        Estimate,"54,719"
        Margin of Error,"±20,740"
    Nonfamily households,
        Estimate,"29,306"
        Margin of Error,"±21,059"
"Census Tract 2971.20, Los Angeles County, California",
    Households,
        Estimate,"49,229"
        Margin of Error,"±11,003"
    Families,
        Estimate,"61,071"
        Margin of Error,"±32,528"
    Married-couple families,
        Estimate,"80,375"
        Margin of Error,"±48,753"
    Nonfamily households,
        Estimate,"41,103"
        Margin of Error,"±7,454"
"Census Tract 2972.01, Los Angeles County, California",
    Households,
        Estimate,"60,574"
        Margin of Error,"±9,221"
    Families,
        Estimate,"61,182"
        Margin of Error,"±15,556"
    Married-couple families,
        Estimate,"79,519"
        Margin of Error,"±24,625"
    Nonfamily households,
        Estimate,"50,250"
        Margin of Error,"±29,025"
"Census Tract 2972.02, Los Angeles County, California",
    Households,
        Estimate,"70,767"
        Margin of Error,"±8,092"
    Families,
        Estimate,"97,222"
        Margin of Error,"±27,672"
    Married-couple families,
        Estimate,"111,250"
        Margin of Error,"±33,362"
    Nonfamily households,
        Estimate,"48,520"
        Margin of Error,"±10,046"
"Census Tract 2973, Los Angeles County, California",
    Households,
        Estimate,"102,143"
        Margin of Error,"±28,917"
    Families,
        Estimate,"105,417"
        Margin of Error,"±33,735"
    Married-couple families,
        Estimate,"125,500"
        Margin of Error,"±37,550"
    Nonfamily households,
        Estimate,"76,000"
        Margin of Error,"±46,609"
"Census Tract 2974, Los Angeles County, California",
    Households,
        Estimate,"82,955"
        Margin of Error,"±22,552"
    Families,
        Estimate,"118,500"
        Margin of Error,"±15,808"
    Married-couple families,
        Estimate,"119,875"
        Margin of Error,"±16,137"
    Nonfamily households,
        Estimate,"52,600"
        Margin of Error,"±7,092"
"Census Tract 2975, Los Angeles County, California",
    Households,
        Estimate,"88,229"
        Margin of Error,"±25,724"
    Families,
        Estimate,"125,042"
        Margin of Error,"±36,957"
    Married-couple families,
        Estimate,"151,250"
        Margin of Error,"±26,737"
    Nonfamily households,
        Estimate,"63,125"
        Margin of Error,"±15,991"
"Census Tract 2976.01, Los Angeles County, California",
    Households,
        Estimate,"55,246"
        Margin of Error,"±9,057"
    Families,
        Estimate,"60,875"
        Margin of Error,"±28,157"
    Married-couple families,
        Estimate,"77,885"
        Margin of Error,"±40,347"
    Nonfamily households,
        Estimate,"37,955"
        Margin of Error,"±17,648"
"Census Tract 2976.02, Los Angeles County, California",
    Households,
        Estimate,"64,873"
        Margin of Error,"±16,551"
    Families,
        Estimate,"103,438"
        Margin of Error,"±23,022"
    Married-couple families,
        Estimate,"111,513"
        Margin of Error,"±9,906"
    Nonfamily households,
        Estimate,"42,107"
        Margin of Error,"±24,010"
"Census Tract 3001, Los Angeles County, California",
    Households,
        Estimate,"139,458"
        Margin of Error,"±8,789"
    Families,
        Estimate,"144,543"
        Margin of Error,"±11,381"
    Married-couple families,
        Estimate,"150,000"
        Margin of Error,"±17,813"
    Nonfamily households,
        Estimate,"37,778"
        Margin of Error,"±12,901"
"Census Tract 3002, Los Angeles County, California",
    Households,
        Estimate,"103,209"
        Margin of Error,"±19,789"
    Families,
        Estimate,"120,409"
        Margin of Error,"±15,051"
    Married-couple families,
        Estimate,"130,857"
        Margin of Error,"±13,268"
    Nonfamily households,
        Estimate,"33,015"
        Margin of Error,"±19,538"
"Census Tract 3003.01, Los Angeles County, California",
    Households,
        Estimate,"114,890"
        Margin of Error,"±14,786"
    Families,
        Estimate,"125,372"
        Margin of Error,"±16,187"
    Married-couple families,
        Estimate,"133,295"
        Margin of Error,"±14,046"
    Nonfamily households,
        Estimate,"103,087"
        Margin of Error,"±38,290"
"Census Tract 3004, Los Angeles County, California",
    Households,
        Estimate,"97,083"
        Margin of Error,"±27,454"
    Families,
        Estimate,"111,298"
        Margin of Error,"±30,694"
    Married-couple families,
        Estimate,"115,761"
        Margin of Error,"±29,798"
    Nonfamily households,
        Estimate,"67,153"
        Margin of Error,"±37,807"
"Census Tract 3005.01, Los Angeles County, California",
    Households,
        Estimate,"110,792"
        Margin of Error,"±14,757"
    Families,
        Estimate,"115,417"
        Margin of Error,"±17,626"
    Married-couple families,
        Estimate,"126,076"
        Margin of Error,"±12,546"
    Nonfamily households,
        Estimate,"95,455"
        Margin of Error,"±83,703"
"Census Tract 3005.02, Los Angeles County, California",
    Households,
        Estimate,"67,407"
        Margin of Error,"±8,423"
    Families,
        Estimate,"97,583"
        Margin of Error,"±25,048"
    Married-couple families,
        Estimate,"98,750"
        Margin of Error,"±21,801"
    Nonfamily households,
        Estimate,"41,739"
        Margin of Error,"±8,270"
"Census Tract 3006, Los Angeles County, California",
    Households,
        Estimate,"69,107"
        Margin of Error,"±11,290"
    Families,
        Estimate,"86,250"
        Margin of Error,"±20,383"
    Married-couple families,
        Estimate,"111,549"
        Margin of Error,"±26,784"
    Nonfamily households,
        Estimate,"32,204"
        Margin of Error,"±22,426"
"Census Tract 3007.01, Los Angeles County, California",
    Households,
        Estimate,"129,025"
        Margin of Error,"±18,897"
    Families,
        Estimate,"142,007"
        Margin of Error,"±12,964"
    Married-couple families,
        Estimate,"144,853"
        Margin of Error,"±38,142"
    Nonfamily households,
        Estimate,"84,141"
        Margin of Error,"±19,972"
"Census Tract 3007.02, Los Angeles County, California",
    Households,
        Estimate,"112,802"
        Margin of Error,"±16,329"
    Families,
        Estimate,"124,650"
        Margin of Error,"±46,358"
    Married-couple families,
        Estimate,"124,000"
        Margin of Error,"±60,471"
    Nonfamily households,
        Estimate,"49,509"
        Margin of Error,"±28,623"
"Census Tract 3008, Los Angeles County, California",
    Households,
        Estimate,"96,157"
        Margin of Error,"±15,092"
    Families,
        Estimate,"112,250"
        Margin of Error,"±32,646"
    Married-couple families,
        Estimate,"135,167"
        Margin of Error,"±32,832"
    Nonfamily households,
        Estimate,"48,175"
        Margin of Error,"±11,133"
"Census Tract 3009.01, Los Angeles County, California",
    Households,
        Estimate,"149,707"
        Margin of Error,"±26,319"
    Families,
        Estimate,"175,288"
        Margin of Error,"±46,440"
    Married-couple families,
        Estimate,"178,929"
        Margin of Error,"±47,762"
    Nonfamily households,
        Estimate,"87,350"
        Margin of Error,"±34,096"
"Census Tract 3009.02, Los Angeles County, California",
    Households,
        Estimate,"136,708"
        Margin of Error,"±10,930"
    Families,
        Estimate,"144,500"
        Margin of Error,"±11,526"
    Married-couple families,
        Estimate,"144,250"
        Margin of Error,"±15,414"
    Nonfamily households,
        Estimate,"62,679"
        Margin of Error,"±44,124"
"Census Tract 3010, Los Angeles County, California",
    Households,
        Estimate,"68,967"
        Margin of Error,"±16,510"
    Families,
        Estimate,"81,120"
        Margin of Error,"±19,354"
    Married-couple families,
        Estimate,"97,545"
        Margin of Error,"±17,495"
    Nonfamily households,
        Estimate,"41,296"
        Margin of Error,"±21,867"
"Census Tract 3011, Los Angeles County, California",
    Households,
        Estimate,"74,303"
        Margin of Error,"±9,929"
    Families,
        Estimate,"97,780"
        Margin of Error,"±30,196"
    Married-couple families,
        Estimate,"129,637"
        Margin of Error,"±36,940"
    Nonfamily households,
        Estimate,"55,938"
        Margin of Error,"±28,174"
"Census Tract 3012.03, Los Angeles County, California",
    Households,
        Estimate,"66,563"
        Margin of Error,"±12,075"
    Families,
        Estimate,"78,536"
        Margin of Error,"±18,925"
    Married-couple families,
        Estimate,"95,948"
        Margin of Error,"±21,966"
    Nonfamily households,
        Estimate,"45,156"
        Margin of Error,"±22,067"
"Census Tract 3012.04, Los Angeles County, California",
    Households,
        Estimate,"58,497"
        Margin of Error,"±19,558"
    Families,
        Estimate,"85,761"
        Margin of Error,"±51,689"
    Married-couple families,
        Estimate,"100,581"
        Margin of Error,"±26,537"
    Nonfamily households,
        Estimate,"32,113"
        Margin of Error,"±23,212"
"Census Tract 3012.05, Los Angeles County, California",
    Households,
        Estimate,"107,159"
        Margin of Error,"±21,178"
    Families,
        Estimate,"112,500"
        Margin of Error,"±8,617"
    Married-couple families,
        Estimate,"115,536"
        Margin of Error,"±7,930"
    Nonfamily households,
        Estimate,"53,750"
        Margin of Error,"±35,980"
"Census Tract 3012.06, Los Angeles County, California",
    Households,
        Estimate,"63,715"
        Margin of Error,"±14,822"
    Families,
        Estimate,"77,926"
        Margin of Error,"±17,727"
    Married-couple families,
        Estimate,"79,858"
        Margin of Error,"±18,503"
    Nonfamily households,
        Estimate,"32,419"
        Margin of Error,"±21,001"
"Census Tract 3013, Los Angeles County, California",
    Households,
        Estimate,"119,107"
        Margin of Error,"±14,336"
    Families,
        Estimate,"173,929"
        Margin of Error,"±27,400"
    Married-couple families,
        Estimate,"192,841"
        Margin of Error,"±53,956"
    Nonfamily households,
        Estimate,"53,636"
        Margin of Error,"±8,329"
"Census Tract 3014, Los Angeles County, California",
    Households,
        Estimate,"150,489"
        Margin of Error,"±46,423"
    Families,
        Estimate,"180,353"
        Margin of Error,"±37,204"
    Married-couple families,
        Estimate,"180,469"
        Margin of Error,"±48,337"
    Nonfamily households,
        Estimate,"100,921"
        Margin of Error,"±7,260"
