Label (Grouping),Median income (dollars)
        Estimate,"68,512"
        Margin of Error,"±12,885"
    Married-couple families,
        Estimate,"69,375"
        Margin of Error,"±19,212"
    Nonfamily households,
        Estimate,"27,750"
        Margin of Error,"±21,668"
"Census Tract 1046.10, Los Angeles County, California",
    Households,
        Estimate,"61,359"
        Margin of Error,"±6,411"
    Families,
        Estimate,"62,563"
        Margin of Error,"±9,766"
    Married-couple families,
        Estimate,"68,594"
        Margin of Error,"±7,985"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1046.20, Los Angeles County, California",
    Households,
        Estimate,"64,648"
        Margin of Error,"±5,641"
    Families,
        Estimate,"64,688"
        Margin of Error,"±7,107"
    Married-couple families,
        Estimate,"75,441"
        Margin of Error,"±20,332"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1047.01, Los Angeles County, California",
    Households,
        Estimate,"35,357"
        Margin of Error,"±6,270"
    Families,
        Estimate,"35,491"
        Margin of Error,"±6,966"
    Married-couple families,
        Estimate,"43,426"
        Margin of Error,"±5,446"
    Nonfamily households,
        Estimate,"15,417"
        Margin of Error,"±8,580"
"Census Tract 1047.03, Los Angeles County, California",
    Households,
        Estimate,"41,875"
        Margin of Error,"±14,155"
    Families,
        Estimate,"47,716"
        Margin of Error,"±11,702"
    Married-couple families,
        Estimate,"48,707"
        Margin of Error,"±9,551"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1047.04, Los Angeles County, California",
    Households,
        Estimate,"43,338"
        Margin of Error,"±4,949"
    Families,
        Estimate,"43,247"
        Margin of Error,"±5,703"
    Married-couple families,
        Estimate,"48,220"
        Margin of Error,"±12,024"
    Nonfamily households,
        Estimate,"24,677"
        Margin of Error,"±12,023"
"Census Tract 1048.10, Los Angeles County, California",
    Households,
        Estimate,"74,149"
        Margin of Error,"±6,780"
    Families,
        Estimate,"72,675"
        Margin of Error,"±10,034"
    Married-couple families,
        Estimate,"68,781"
        Margin of Error,"±19,406"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1048.21, Los Angeles County, California",
    Households,
        Estimate,"70,231"
        Margin of Error,"±16,006"
    Families,
        Estimate,"63,194"
        Margin of Error,"±11,976"
    Married-couple families,
        Estimate,"71,389"
        Margin of Error,"±8,890"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1048.22, Los Angeles County, California",
    Households,
        Estimate,"60,515"
        Margin of Error,"±15,613"
    Families,
        Estimate,"60,990"
        Margin of Error,"±8,522"
    Married-couple families,
        Estimate,"64,688"
        Margin of Error,"±19,704"
    Nonfamily households,
        Estimate,"14,844"
        Margin of Error,"±14,197"
"Census Tract 1060.10, Los Angeles County, California",
    Households,
        Estimate,"89,946"
        Margin of Error,"±11,880"
    Families,
        Estimate,"91,576"
        Margin of Error,"±13,185"
    Married-couple families,
        Estimate,"116,042"
        Margin of Error,"±34,537"
    Nonfamily households,
        Estimate,"66,389"
        Margin of Error,"±17,994"
"Census Tract 1060.20, Los Angeles County, California",
    Households,
        Estimate,"79,703"
        Margin of Error,"±19,811"
    Families,
        Estimate,"83,281"
        Margin of Error,"±26,188"
    Married-couple families,
        Estimate,"96,500"
        Margin of Error,"±32,418"
    Nonfamily households,
        Estimate,"78,910"
        Margin of Error,"±35,938"
"Census Tract 1061.11, Los Angeles County, California",
    Households,
        Estimate,"95,288"
        Margin of Error,"±17,929"
    Families,
        Estimate,"112,188"
        Margin of Error,"±20,284"
    Married-couple families,
        Estimate,"113,608"
        Margin of Error,"±8,693"
    Nonfamily households,
        Estimate,"52,250"
        Margin of Error,"±30,012"
"Census Tract 1061.12, Los Angeles County, California",
    Households,
        Estimate,"95,625"
        Margin of Error,"±10,484"
    Families,
        Estimate,"96,118"
        Margin of Error,"±14,736"
    Married-couple families,
        Estimate,"108,233"
        Margin of Error,"±12,455"
    Nonfamily households,
        Estimate,"79,375"
        Margin of Error,"±29,820"
"Census Tract 1061.13, Los Angeles County, California",
    Households,
        Estimate,"96,667"
        Margin of Error,"±18,643"
    Families,
        Estimate,"98,750"
        Margin of Error,"±23,000"
    Married-couple families,
        Estimate,"107,566"
        Margin of Error,"±42,795"
    Nonfamily households,
        Estimate,"53,958"
        Margin of Error,"±17,627"
"Census Tract 1061.14, Los Angeles County, California",
    Households,
        Estimate,"58,194"
        Margin of Error,"±10,061"
    Families,
        Estimate,"49,975"
        Margin of Error,"±16,022"
    Married-couple families,
        Estimate,"66,875"
        Margin of Error,"±9,456"
    Nonfamily households,
        Estimate,"58,750"
        Margin of Error,"±14,745"
"Census Tract 1064.03, Los Angeles County, California",
    Households,
        Estimate,"72,604"
        Margin of Error,"±11,794"
    Families,
        Estimate,"75,417"
        Margin of Error,"±13,553"
    Married-couple families,
        Estimate,"77,083"
        Margin of Error,"±10,399"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1064.05, Los Angeles County, California",
    Households,
        Estimate,"59,352"
        Margin of Error,"±9,915"
    Families,
        Estimate,"56,280"
        Margin of Error,"±16,591"
    Married-couple families,
        Estimate,"60,625"
        Margin of Error,"±19,926"
    Nonfamily households,
        Estimate,"57,500"
        Margin of Error,"±14,696"
"Census Tract 1064.06, Los Angeles County, California",
    Households,
        Estimate,"85,115"
        Margin of Error,"±7,757"
    Families,
        Estimate,"87,802"
        Margin of Error,"±7,581"
    Married-couple families,
        Estimate,"104,844"
        Margin of Error,"±29,698"
    Nonfamily households,
        Estimate,"68,750"
        Margin of Error,"±40,025"
"Census Tract 1064.07, Los Angeles County, California",
    Households,
        Estimate,"34,327"
        Margin of Error,"±11,980"
    Families,
        Estimate,"43,662"
        Margin of Error,"±5,279"
    Married-couple families,
        Estimate,"52,689"
        Margin of Error,"±8,537"
    Nonfamily households,
        Estimate,"15,938"
        Margin of Error,"±7,403"
"Census Tract 1064.08, Los Angeles County, California",
    Households,
        Estimate,"60,199"
        Margin of Error,"±13,377"
    Families,
        Estimate,"60,795"
        Margin of Error,"±4,445"
    Married-couple families,
        Estimate,"61,522"
        Margin of Error,"±10,748"
    Nonfamily households,
        Estimate,"38,438"
        Margin of Error,"±33,522"
"Census Tract 1065.10, Los Angeles County, California",
    Households,
        Estimate,"85,521"
        Margin of Error,"±26,927"
    Families,
        Estimate,"105,000"
        Margin of Error,"±25,187"
    Married-couple families,
        Estimate,"106,953"
        Margin of Error,"±13,468"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1065.20, Los Angeles County, California",
    Households,
        Estimate,"63,924"
        Margin of Error,"±7,795"
    Families,
        Estimate,"63,725"
        Margin of Error,"±10,153"
    Married-couple families,
        Estimate,"83,864"
        Margin of Error,"±22,313"
    Nonfamily households,
        Estimate,"20,446"
        Margin of Error,"±7,399"
"Census Tract 1066.03, Los Angeles County, California",
    Households,
        Estimate,"112,404"
        Margin of Error,"±11,166"
    Families,
        Estimate,"109,732"
        Margin of Error,"±10,230"
    Married-couple families,
        Estimate,"119,306"
        Margin of Error,"±25,340"
    Nonfamily households,
        Estimate,"98,750"
        Margin of Error,"±29,000"
"Census Tract 1066.04, Los Angeles County, California",
    Households,
        Estimate,"60,350"
        Margin of Error,"±7,074"
    Families,
        Estimate,"63,438"
        Margin of Error,"±8,685"
    Married-couple families,
        Estimate,"64,129"
        Margin of Error,"±20,327"
    Nonfamily households,
        Estimate,"35,000"
        Margin of Error,"±26,067"
"Census Tract 1066.41, Los Angeles County, California",
    Households,
        Estimate,"110,357"
        Margin of Error,"±13,551"
    Families,
        Estimate,"120,956"
        Margin of Error,"±15,994"
    Married-couple families,
        Estimate,"129,896"
        Margin of Error,"±53,528"
    Nonfamily households,
        Estimate,"78,750"
        Margin of Error,"±32,788"
"Census Tract 1066.42, Los Angeles County, California",
    Households,
        Estimate,"109,063"
        Margin of Error,"±14,678"
    Families,
        Estimate,"118,125"
        Margin of Error,"±17,255"
    Married-couple families,
        Estimate,"126,333"
        Margin of Error,"±21,300"
    Nonfamily households,
        Estimate,"50,096"
        Margin of Error,"±24,921"
"Census Tract 1066.43, Los Angeles County, California",
    Households,
        Estimate,"164,125"
        Margin of Error,"±19,513"
    Families,
        Estimate,"174,150"
        Margin of Error,"±13,370"
    Married-couple families,
        Estimate,"176,369"
        Margin of Error,"±12,288"
    Nonfamily households,
        Estimate,"74,737"
        Margin of Error,"±39,449"
"Census Tract 1066.45, Los Angeles County, California",
    Households,
        Estimate,"113,940"
        Margin of Error,"±12,063"
    Families,
        Estimate,"127,572"
        Margin of Error,"±19,763"
    Married-couple families,
        Estimate,"133,750"
        Margin of Error,"±17,856"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1066.46, Los Angeles County, California",
    Households,
        Estimate,"110,734"
        Margin of Error,"±5,738"
    Families,
        Estimate,"118,542"
        Margin of Error,"±15,335"
    Married-couple families,
        Estimate,"133,958"
        Margin of Error,"±22,938"
    Nonfamily households,
        Estimate,"81,875"
        Margin of Error,"±42,125"
"Census Tract 1066.48, Los Angeles County, California",
    Households,
        Estimate,"68,426"
        Margin of Error,"±9,815"
    Families,
        Estimate,"68,219"
        Margin of Error,"±7,427"
    Married-couple families,
        Estimate,"76,991"
        Margin of Error,"±19,995"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1066.49, Los Angeles County, California",
    Households,
        Estimate,"87,039"
        Margin of Error,"±15,593"
    Families,
        Estimate,"91,667"
        Margin of Error,"±12,878"
    Married-couple families,
        Estimate,"97,065"
        Margin of Error,"±28,673"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1070.10, Los Angeles County, California",
    Households,
        Estimate,"69,934"
        Margin of Error,"±9,952"
    Families,
        Estimate,"70,813"
        Margin of Error,"±17,749"
    Married-couple families,
        Estimate,"76,250"
        Margin of Error,"±20,365"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1070.20, Los Angeles County, California",
    Households,
        Estimate,"84,289"
        Margin of Error,"±10,352"
    Families,
        Estimate,"83,137"
        Margin of Error,"±9,365"
    Married-couple families,
        Estimate,"88,393"
        Margin of Error,"±17,787"
    Nonfamily households,
        Estimate,"49,375"
        Margin of Error,"±29,029"
"Census Tract 1081.01, Los Angeles County, California",
    Households,
        Estimate,"121,563"
        Margin of Error,"±23,994"
    Families,
        Estimate,"129,375"
        Margin of Error,"±26,478"
    Married-couple families,
        Estimate,"143,424"
        Margin of Error,"±20,847"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1081.02, Los Angeles County, California",
    Households,
        Estimate,"100,938"
        Margin of Error,"±24,626"
    Families,
        Estimate,"108,672"
        Margin of Error,"±20,086"
    Married-couple families,
        Estimate,"116,875"
        Margin of Error,"±23,911"
    Nonfamily households,
        Estimate,"43,750"
        Margin of Error,"±40,798"
"Census Tract 1081.03, Los Angeles County, California",
    Households,
        Estimate,"146,932"
        Margin of Error,"±26,285"
    Families,
        Estimate,"147,386"
        Margin of Error,"±21,038"
    Married-couple families,
        Estimate,"151,250"
        Margin of Error,"±29,662"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1081.04, Los Angeles County, California",
    Households,
        Estimate,"152,321"
        Margin of Error,"±18,571"
    Families,
        Estimate,"161,250"
        Margin of Error,"±38,645"
    Married-couple families,
        Estimate,"179,688"
        Margin of Error,"±34,019"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1082.01, Los Angeles County, California",
    Households,
        Estimate,"129,688"
        Margin of Error,"±12,399"
    Families,
        Estimate,"142,813"
        Margin of Error,"±20,003"
    Married-couple families,
        Estimate,"143,281"
        Margin of Error,"±20,728"
    Nonfamily households,
        Estimate,"109,028"
        Margin of Error,"±65,175"
"Census Tract 1082.02, Los Angeles County, California",
    Households,
        Estimate,"97,188"
        Margin of Error,"±43,930"
    Families,
        Estimate,"146,797"
        Margin of Error,"±20,514"
    Married-couple families,
        Estimate,"150,500"
        Margin of Error,"±17,177"
    Nonfamily households,
        Estimate,"49,643"
        Margin of Error,"±27,563"
"Census Tract 1091, Los Angeles County, California",
    Households,
        Estimate,"67,750"
        Margin of Error,"±23,269"
    Families,
        Estimate,"94,375"
        Margin of Error,"±14,082"
    Married-couple families,
        Estimate,"95,662"
        Margin of Error,"±13,809"
    Nonfamily households,
        Estimate,"30,357"
        Margin of Error,"±7,141"
"Census Tract 1092, Los Angeles County, California",
    Households,
        Estimate,"117,857"
        Margin of Error,"±6,216"
    Families,
        Estimate,"119,541"
        Margin of Error,"±4,177"
    Married-couple families,
        Estimate,"133,088"
        Margin of Error,"±22,393"
    Nonfamily households,
        Estimate,"104,125"
        Margin of Error,"±53,754"
"Census Tract 1093, Los Angeles County, California",
    Households,
        Estimate,"86,316"
        Margin of Error,"±7,829"
    Families,
        Estimate,"85,263"
        Margin of Error,"±8,960"
    Married-couple families,
        Estimate,"87,007"
        Margin of Error,"±17,293"
    Nonfamily households,
