STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,GEO_ID,TL_GEO_ID,NAME_E,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone, Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,   Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,,Total: Worked in county of residence ,Worked outside county of residence,Worked outside state of residence,All Commuters," Car, truck, or van","Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation,Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar or trolley ",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Total Educational Attainment Population,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Median earnings in the past 12 months (Total),Median earnings in the past 12 months (Male),Median earnings in the past 12 months (Female)
California,6,Amador County,5,Sutter Creek-Plymouth CCD,93300,0600000US0600593300,600593300,"Sutter Creek-Plymouth CCD, Amador County, California",8092,6793,129,77,20,0,446,627,812,356,27,3,0,0,272,154,3202,2095,1107,0,3202,2567,2357,210,0,0,0,0,0,0,0,30,0,108,0,497,89,316,405,363,177,211,164,84,13,380,406,97,6514,28,0,0,0,0,0,0,18,12,0,81,31,24,30,140,1125,192,1245,1088,689,1140,474,141,56,46508,52478,38831
California,6,Butte County,7,Biggs CCD,90230,0600000US0600790230,600790230,"Biggs CCD, Butte County, California",3763,2936,0,0,27,0,235,565,927,371,0,0,0,0,152,404,1396,979,417,0,1396,1194,1089,105,0,0,0,0,0,0,0,0,0,41,11,150,55,185,170,148,153,48,174,105,47,19,69,73,2204,70,0,22,0,15,9,7,0,0,18,7,16,31,25,30,710,115,148,326,190,292,145,13,15,36713,42546,31339
California,6,Butte County,7,Chico CCD,90470,0600000US0600790470,600790470,"Chico CCD, Butte County, California",112378,82219,2058,993,5519,488,7551,13550,22855,7139,76,447,304,39,7277,7573,55478,51232,3980,266,55478,44521,39257,5264,434,402,9,23,0,0,63,129,1173,1846,729,6583,2169,11001,13194,9405,3268,1606,3509,444,471,1592,1405,831,68543,946,0,23,1,0,193,100,49,253,48,264,356,529,650,1194,9573,1510,4850,11937,7632,18195,6440,2117,1683,34516,38293,31367
California,6,Butte County,7,Durham CCD,90750,0600000US0600790750,600790750,"Durham CCD, Butte County, California",6156,4771,247,5,217,0,598,318,822,52,0,0,0,0,593,177,2668,2267,401,0,2668,2157,1802,355,0,0,0,0,0,0,0,70,35,101,0,305,139,229,354,449,316,201,300,0,34,150,12,179,4495,0,0,0,0,0,0,0,0,70,0,0,0,122,17,72,736,132,268,882,465,1081,446,170,34,45568,51222,29500
California,6,Butte County,7,Feather Falls CCD,90970,0600000US0600790970,600790970,"Feather Falls CCD, Butte County, California",3444,2519,114,124,88,4,69,526,223,64,0,9,0,0,22,128,807,620,183,4,807,664,643,21,24,24,0,0,0,0,0,6,0,3,0,110,0,2,65,20,69,42,156,30,19,104,104,86,2781,19,0,0,0,7,1,0,0,2,9,20,30,22,48,195,786,146,323,562,266,214,101,30,0,42348,50924,32101
California,6,Butte County,7,Gridley CCD,91180,0600000US0600791180,600791180,"Gridley CCD, Butte County, California",11334,8128,7,133,163,0,1525,1378,4013,1350,2,33,11,0,1515,1102,4344,2928,1416,0,4344,3992,3550,442,8,0,0,0,0,8,0,0,11,116,9,208,198,683,381,418,420,373,526,76,166,415,355,125,7007,230,0,0,0,15,38,28,86,145,0,116,78,72,91,245,1540,287,712,1075,940,913,322,43,31,38947,46842,30054
California,6,Butte County,7,Oroville CCD,92300,0600000US0600792300,600792300,"Oroville CCD, Butte County, California",40109,26212,953,871,4585,26,2141,5321,7652,2436,84,313,10,3,1893,2913,14557,12833,1612,112,14557,12720,11245,1475,104,88,0,16,0,0,78,0,0,363,134,1158,938,1976,2827,2451,1113,423,1837,270,343,303,307,611,27613,936,16,17,60,0,121,50,9,170,55,130,432,616,673,917,6851,1512,2988,4964,2854,3052,778,266,146,36681,42303,30012
California,6,Butte County,7,Palermo CCD,92330,0600000US0600792330,600792330,"Palermo CCD, Butte County, California",8560,5677,267,310,289,95,967,955,1908,420,0,79,0,48,854,507,3002,2326,676,0,3002,2640,2311,329,0,0,0,0,0,0,0,9,0,45,12,296,48,109,501,477,225,126,599,183,39,181,73,145,6099,118,0,0,0,0,11,12,0,73,16,60,151,181,243,168,1780,307,629,1009,512,602,162,62,3,34938,34167,35065
California,6,Butte County,7,Paradise CCD,92380,0600000US0600792380,600792380,"Paradise CCD, Butte County, California",23726,19655,66,150,447,31,698,2679,2429,758,0,94,0,0,406,1171,8600,8005,555,40,8600,6918,6083,835,25,25,0,0,0,0,0,0,0,89,95,1473,146,719,791,594,1072,418,1293,414,463,756,202,259,17504,192,16,0,0,0,11,0,8,56,16,78,11,110,447,365,3380,960,1584,2522,1886,3836,1216,529,281,44982,51350,36933
California,6,Calaveras County,9,Angels City CCD,90060,0600000US0600990060,600990060,"Angels City CCD, Calaveras County, California",13039,11014,132,103,48,6,388,1348,1764,524,0,19,0,0,388,833,5075,3294,1769,12,5075,4083,3881,202,43,43,0,0,0,0,0,36,0,309,181,423,442,825,696,318,473,98,640,22,85,482,273,298,10055,77,0,0,0,0,16,0,0,3,0,146,55,51,76,216,2100,487,895,2168,1297,1706,506,162,94,46378,64866,34229
