tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037115104,236,2026,11.6,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4961,10987102.3,20179.61958
06037115202,78,2005,3.9,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4962,18737607.28,18731.27431
06037115203,202,1069,18.9,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4963,6509971.807,13182.09383
06037115204,87,1604,5.4,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4964,8315380.188,12879.1262
06037115301,59,1635,3.6,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4965,17666228.55,21836.1221
06037115302,60,1083,5.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4966,9022175.252,12561.15885
06037115401,16,1926,0.8,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4967,20506906.82,20433.09307
06037115403,43,1022,4.2,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4968,7553347.384,11099.65801
06037115404,6,800,0.8,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4969,10269140.59,13011.35039
06037117101,28,1453,1.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4970,8417799.516,11698.77861
06037117102,9,815,1.1,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4971,11085612.24,13712.40895
06037117201,161,1190,13.5,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4972,8548198.588,13679.09814
06037117202,131,929,14.1,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4973,19495302.2,18086.12664
06037117301,40,1092,3.7,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4974,14300314.57,16164.72326
06037117302,103,1557,6.6,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,4975,22083316.98,26163.4458
06037117303,7,1180,0.6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4976,19439671.83,18085.44918
06037117404,28,1375,2,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4977,19003941.51,17700.65016
06037117405,68,861,7.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4978,2175619.733,5942.664158
06037117407,109,1007,10.8,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4979,2148931.082,5890.476017
06037117408,55,716,7.7,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4980,4052405.316,8246.916226
06037117510,84,1033,8.1,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4981,3630267.362,8174.741777
06037117520,126,1077,11.7,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4982,3460512.1,7761.730093
06037117530,254,1699,14.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,4983,6033893.434,9945.462601
06037119001,56,1012,5.5,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4984,11577313.02,13962.1321
06037119003,0,860,0,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4985,9152043.432,12877.01196
06037119004,111,759,14.6,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4986,9171707.169,12938.02035
06037119201,69,849,8.1,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4987,10255257.79,12946.54491
06037119202,45,1133,4,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4988,10447385.45,16853.7463
06037119310,86,1243,6.9,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4989,4722462.245,10015.24943
06037119320,114,1270,9,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4990,5316856.909,9350.184752
06037119340,110,1029,10.7,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4991,1314702.023,4632.278682
06037134305,190,1188,16,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,4992,3847935.067,8097.008377
06037119341,94,857,11,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4993,3525028.256,8359.247923
06037119342,39,782,5,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4994,2358150.679,6104.943427
06037119400,10,1147,0.9,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4995,12059419.3,14162.64371
06037119700,31,1301,2.4,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4996,14175400.05,20291.45782
06037119801,10,618,1.6,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4997,6592586.727,11988.36052
06037119802,16,810,2,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,4998,6776188.169,12322.14787
06037119900,12,1260,1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,4999,11327616.82,14582.86762
06037120010,28,761,3.7,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5000,6102212.857,10220.15775
06037120020,168,1256,13.4,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5001,5732451.138,12179.88556
06037120030,140,702,19.9,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5002,4042047.867,8097.730164
06037120103,240,847,28.3,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5003,1531762.03,5627.791275
06037120104,155,794,19.5,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5004,4855892.523,10161.97132
06037120105,198,851,23.3,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5005,5888904.732,15689.31436
06037120106,186,1318,14.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5006,2207511.566,6070.970861
06037120107,142,1116,12.7,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5007,2219500.237,6074.748534
06037120108,94,1399,6.7,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5008,4153196.155,8437.982894
06037120300,123,1424,8.6,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5009,18625291.36,18461.26126
06037120400,255,2099,12.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,5010,11342990.48,17252.73188
06037121010,71,1258,5.6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5011,21938724.67,19439.94947
06037121020,78,1055,7.4,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5012,8862824.786,13123.59415
06037121101,58,949,6.1,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,5013,5017307.981,10718.79019
06037121102,34,755,4.5,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,5014,81202249.67,37430.51872
06037121210,73,781,9.3,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5015,21747744.59,18363.61001
06037121221,31,517,6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5016,5368645.641,11031.14633
06037121222,131,1233,10.6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5017,14360591.98,18205.72883
06037121600,44,837,5.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5018,12226265.65,16319.34645
06037121801,90,1118,8.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5019,5227906.449,10560.21305
06037121802,77,708,10.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5020,10313355.24,14870.69408
06037121900,0,1009,0,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5021,18151567.54,20085.67411
06037122000,94,1576,6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5022,35127759.93,30433.99308
06037122120,65,1185,5.5,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5023,7747526.699,13223.72533
06037122121,32,771,4.2,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5024,4433690.193,11866.00721
06037122122,53,638,8.3,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5025,11169110.21,15319.43212
06037122200,49,860,5.7,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,5026,18360451.81,19414.81346
06037122410,112,1172,9.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5027,7614170.008,11116.67676
06037122420,101,1340,7.5,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5028,9284627.349,12386.80263
06037123010,58,1005,5.8,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5029,10934072.27,13636.39262
06037123020,27,753,3.6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,5030,6044749.938,9824.427487
06037123103,90,1619,5.6,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5031,9700340.048,13343.62713
06037123104,171,1581,10.8,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5032,8398918.358,11502.42116
06037123203,52,981,5.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5033,6324973.649,12755.87253
06037123204,42,1016,4.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5034,3489441.034,7926.034363
06037123205,38,764,5,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5035,8155803.27,11532.58669
06037123206,103,792,13,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5036,6488814.033,10269.80692
06037123301,129,1625,7.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5037,14044397.72,17672.23487
06037123303,38,893,4.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5038,6799869.66,13016.25167
06037123304,364,1749,20.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5039,9447370.322,13402.34955
06037123410,168,1212,13.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5040,5327906.847,9495.326607
06037123420,214,1623,13.2,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,5041,8476029.851,14726.85717
06037123510,247,1621,15.2,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,5042,8603575.376,12258.47996
06037123520,14,761,1.8,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,5043,5504854.454,12484.65911
06037123601,182,1897,9.6,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,5044,16517551.72,18181.93275
06037123602,152,1235,12.3,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,5045,9916166.487,14181.49642
06037123700,276,1672,16.5,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5046,10250517,13103.93224
06037123800,176,2237,7.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5047,13919787.92,17428.70676
06037123901,26,1402,1.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5048,13875662.38,15019.32018
06037123902,46,1084,4.2,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5049,7141609.658,11686.01327
06037124000,224,2113,10.6,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5050,14496033.26,16685.90943
06037124102,43,1360,3.2,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5051,6987058.818,10573.06068
06037124103,45,570,7.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5052,3486434.334,7921.975436
06037124104,112,1015,11,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5053,3492293.159,7927.116402
06037124105,83,848,9.8,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5054,3493092.95,7929.038325
06037124201,78,1069,7.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5055,10468066.33,13209.63681
06037124203,72,793,9.1,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5056,3490837.555,7927.097669
06037124204,40,873,4.6,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5057,3491071.053,7925.261391
06037124300,109,1210,9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5058,9590084.12,12560.9068
06037124400,128,1643,7.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,5059,10416361.87,13080.23848
06037124500,95,1218,7.8,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,5060,8816160.092,14044.06444
06037124600,59,1252,4.7,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,5061,12032142.83,14288.9998
06037124700,148,2427,6.1,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,5062,14717341.71,17847.45168
06037124902,227,1556,14.6,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5063,3655267.716,8060.471781
06037124903,142,1567,9.1,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5064,3341025.856,7810.203187
06037125101,63,2032,3.1,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5065,6993775.369,10577.59141
06037125102,63,834,7.6,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5066,6983782.579,10570.90317
06037125200,108,1774,6.1,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,5067,14025049.87,15858.56
06037125310,122,1959,6.2,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5068,11345427,19246.44543
06037125321,76,1382,5.5,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5069,2794430.714,6880.716989
06037125322,384,1359,28.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5070,4016692.221,8863.494638
06037143605,40,890,4.5,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5071,3482450.308,8221.098886
06037125402,76,2037,3.7,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5072,7870336.813,11261.8644
06037125403,94,1248,7.5,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5073,1812286.288,6036.392693
06037125501,122,1609,7.6,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,5074,4997337.829,9227.596439
06037125502,177,1974,9,District 5,Los Angeles - Toluca Lake,SPA 2 - San Fernando,5075,5667867.689,9620.832664
06037125600,34,1243,2.7,District 5,Los Angeles - Toluca Woods,SPA 2 - San Fernando,5076,10980245.72,14762.51436
