"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Margin of Error","±1,679","","±1.5","±1.7","±0.9","±0.8","±0.3","±0.5","±0.01","±0.5","±0.3","±0.1","±0.5","±1.3","","±0.4","±0.5","±0.3","±0.4","±0.5","±1.9","±2.0","±0.5","±0.1","±0.1","±0.1","±0.1","±1,628","","±1.0","±0.7","±0.6","±1.3","±1.2","±1.5","±1.5","±1.2","±1.2","±2.0","","±1.4","±1.2","±1.5","±1.2","±1.0","±1.0","±1.0","±1.5","±1.3","±0.9","","±1,667","±0.5","±1.5","±2.0","±2.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,221","","86.3%","75.2%","11.1%","8.1%","1.8%","1.2%","1.08","1.3%","1.2%","0.4%","1.2%","9.6%","","99.9%","91.7%","8.2%","0.1%","96.5%","42.4%","54.2%","3.5%","0.0%","0.0%","0.0%","100.0%","68,900","","11.5%","5.5%","4.6%","11.3%","6.6%","20.9%","6.5%","10.6%","1.9%","20.5%","","8.7%","16.1%","18.7%","14.4%","3.7%","6.6%","3.7%","8.9%","19.2%","32.9","","75,670","2.6%","16.7%","35.6%","45.1%","","15.4%","17.6%","18.9%","26.3%","20.5%","2.6%"
"        Margin of Error","±2,028","","±1.3","±1.6","±1.4","±1.2","±0.5","±0.4","±0.01","±0.3","±0.3","±0.2","±0.4","±1.0","","±0.1","±1.4","±1.4","±0.1","±0.5","±1.9","±1.8","±0.5","±0.1","±0.1","±0.1","±0.1","±1,971","","±1.2","±0.8","±0.7","±1.0","±1.0","±1.9","±0.8","±1.2","±0.4","±1.4","","±1.2","±1.2","±1.7","±1.4","±0.7","±0.9","±0.7","±1.4","±1.6","±1.2","","±2,038","±0.7","±1.6","±2.1","±2.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,689","","87.2%","75.6%","11.6%","8.2%","1.8%","1.6%","1.08","1.3%","1.1%","0.4%","1.5%","8.5%","","99.8%","89.2%","10.6%","0.2%","95.9%","37.4%","58.5%","4.1%","0.0%","0.0%","0.0%","100.0%","37,221","","15.8%","7.6%","6.1%","13.6%","6.0%","17.4%","4.7%","7.3%","1.2%","20.2%","","6.0%","14.0%","16.3%","14.0%","4.1%","6.5%","4.4%","9.5%","25.2%","37.5","","40,413","2.4%","12.7%","36.2%","48.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,352","","±1.7","±2.3","±2.1","±1.9","±0.5","±0.6","±0.02","±0.5","±0.4","±0.3","±0.5","±1.4","","±0.1","±1.5","±1.5","±0.1","±0.7","±2.6","±2.6","±0.7","±0.1","±0.1","±0.1","±0.1","±1,366","","±2.0","±1.2","±1.3","±1.5","±1.2","±2.6","±0.8","±1.2","±0.4","±1.9","","±1.0","±1.7","±2.1","±1.8","±1.0","±1.0","±1.0","±1.6","±2.3","±1.7","","±1,330","±1.1","±1.7","±2.6","±3.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,532","","85.2%","74.6%","10.6%","7.9%","1.8%","0.9%","1.07","1.3%","1.4%","0.3%","1.0%","10.8%","","100.0%","94.6%","5.4%","0.0%","97.3%","48.1%","49.1%","2.7%","0.0%","0.0%","0.0%","100.0%","31,679","","6.5%","3.1%","2.9%","8.5%","7.3%","25.0%","8.7%","14.5%","2.7%","20.7%","","11.9%","18.5%","21.6%","14.7%","3.4%","6.7%","2.9%","8.0%","12.2%","27.5","","35,257","2.8%","21.2%","34.9%","41.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,372","","±1.6","±1.8","±1.4","±1.1","±0.7","±0.3","±0.01","±0.4","±0.5","±0.2","±0.4","±1.4","","±0.1","±1.6","±1.6","±0.1","±0.5","±2.2","±2.2","±0.5","±0.1","±0.1","±0.1","±0.1","±1,282","","±1.1","±0.7","±0.8","±1.3","±1.5","±2.5","±1.4","±2.1","±0.8","±1.8","","±2.1","±1.5","±2.5","±1.6","±0.9","±1.2","±0.8","±1.9","±1.5","±1.3","","±1,356","±0.7","±2.3","±2.5","±2.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,919","","73.6%","67.7%","5.9%","4.6%","0.7%","0.5%","1.05","1.2%","4.2%","0.8%","1.0%","19.2%","","99.5%","95.6%","3.8%","0.5%","96.5%","28.6%","67.9%","3.5%","0.0%","0.0%","0.0%","100.0%","32,249","","3.6%","4.1%","4.9%","5.6%","6.4%","13.6%","10.5%","17.3%","8.9%","25.2%","","12.7%","10.7%","12.9%","12.6%","5.6%","13.6%","10.2%","10.0%","11.6%","29.4","","39,521","2.1%","14.5%","41.4%","42.0%","","13.4%","15.1%","17.1%","28.3%","19.3%","1.9%"
"        Margin of Error","±1,268","","±2.0","±2.2","±1.3","±1.0","±0.3","±0.4","±0.01","±0.5","±1.0","±0.5","±0.4","±1.5","","±0.3","±0.7","±0.7","±0.3","±0.8","±1.8","±1.8","±0.8","±0.1","±0.1","±0.1","±0.1","±1,160","","±0.9","±1.0","±0.9","±1.1","±1.0","±1.6","±1.2","±2.0","±1.4","±2.0","","±1.5","±1.9","±1.6","±1.4","±1.2","±1.6","±1.6","±1.2","±1.5","±1.3","","±1,263","±0.9","±2.0","±2.8","±2.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,574","","75.1%","69.8%","5.2%","4.1%","0.5%","0.6%","1.04","1.1%","4.0%","1.3%","0.8%","17.7%","","99.5%","95.7%","3.8%","0.5%","96.5%","26.9%","69.6%","3.5%","0.0%","0.0%","0.0%","100.0%","18,586","","4.7%","5.5%","6.1%","5.4%","7.7%","15.6%","10.0%","16.5%","6.5%","21.9%","","10.7%","10.0%","13.0%","14.4%","4.6%","14.8%","9.9%","10.0%","12.5%","29.9","","22,289","2.1%","12.7%","41.9%","43.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±927","","±2.4","±2.8","±1.5","±1.2","±0.3","±0.5","±0.01","±0.7","±1.1","±0.9","±0.4","±1.9","","±0.3","±0.8","±0.8","±0.3","±0.8","±2.2","±2.2","±0.8","±0.2","±0.2","±0.2","±0.2","±878","","±1.4","±1.5","±1.5","±1.4","±1.4","±2.1","±1.6","±2.5","±1.5","±2.6","","±1.6","±2.1","±2.2","±2.0","±1.1","±1.9","±1.8","±1.6","±1.8","±1.2","","±920","±1.0","±2.5","±3.0","±3.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,345","","71.6%","65.0%","6.6%","5.3%","1.1%","0.3%","1.05","1.3%","4.6%","0.1%","1.2%","21.2%","","99.5%","95.6%","3.9%","0.5%","96.6%","30.9%","65.7%","3.4%","0.0%","0.0%","0.0%","100.0%","13,663","","2.1%","2.1%","3.2%","5.9%","4.8%","10.8%","11.1%","18.3%","12.1%","29.6%","","15.4%","11.7%","12.9%","10.2%","7.0%","11.8%","10.7%","10.0%","10.4%","28.7","","17,232","2.1%","16.7%","40.8%","40.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±937","","±3.1","±3.1","±1.8","±1.4","±0.6","±0.3","±0.01","±0.7","±1.6","±0.1","±0.7","±2.4","","±0.3","±1.4","±1.3","±0.3","±1.1","±3.0","±3.2","±1.1","±0.2","±0.2","±0.2","±0.2","±847","","±0.8","±1.0","±1.4","±1.6","±1.3","±2.1","±2.0","±3.4","±2.2","±3.0","","±2.8","±2.8","±2.1","±1.7","±2.4","±2.3","±2.2","±1.9","±2.0","±2.1","","±928","±1.4","±2.3","±3.2","±2.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","134,488","","66.8%","61.1%","5.7%","4.3%","0.7%","0.7%","1.05","3.2%","3.1%","0.9%","2.4%","23.6%","","99.6%","97.3%","2.3%","0.4%","99.5%","40.0%","59.5%","0.5%","0.0%","0.0%","0.0%","100.0%","102,752","","3.8%","2.3%","2.8%","5.4%","7.0%","13.4%","10.5%","19.9%","8.4%","26.5%","","9.6%","13.5%","14.0%","13.7%","6.2%","15.8%","8.1%","8.9%","10.2%","27.8","","133,706","3.0%","23.2%","42.2%","31.5%","","12.3%","14.4%","13.5%","24.1%","18.6%","1.5%"
"        Margin of Error","±2,181","","±1.2","±1.3","±0.6","±0.4","±0.2","±0.3","±0.01","±0.5","±0.4","±0.2","±0.4","±1.2","","±0.2","±0.4","±0.4","±0.2","±0.2","±1.1","±1.1","±0.2","±0.1","±0.1","±0.1","±0.1","±2,292","","±0.6","±0.3","±0.5","±0.5","±0.7","±0.9","±0.8","±1.2","±0.7","±1.2","","±0.9","±0.9","±0.9","±0.8","±0.6","±1.0","±0.7","±0.7","±0.7","±0.5","","±2,197","±0.5","±1.3","±1.4","±1.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71,888","","66.6%","60.7%","6.0%","4.4%","0.8%","0.8%","1.05","2.9%","3.5%","1.5%","2.2%","23.3%","","99.5%","96.7%","2.8%","0.5%","99.4%","39.4%","60.0%","0.6%","0.0%","0.0%","0.0%","100.0%","55,150","","4.6%","2.9%","3.0%","6.6%","7.4%","13.7%","7.8%","19.9%","7.7%","26.4%","","9.1%","12.9%","13.4%","14.2%","6.6%","15.9%","8.3%","9.4%","10.2%","28.0","","71,340","2.6%","21.1%","43.5%","32.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,670","","±1.5","±1.4","±0.7","±0.6","±0.3","±0.3","±0.01","±0.7","±0.6","±0.3","±0.4","±1.5","","±0.2","±0.6","±0.5","±0.2","±0.2","±1.4","±1.4","±0.2","±0.1","±0.1","±0.1","±0.1","±1,751","","±0.8","±0.6","±0.6","±0.8","±0.9","±1.3","±0.9","±1.4","±1.0","±1.7","","±1.1","±1.1","±1.2","±1.2","±1.0","±1.2","±1.0","±1.1","±0.9","±0.7","","±1,688","±0.5","±1.4","±1.6","±1.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","62,600","","67.0%","61.5%","5.5%","4.2%","0.7%","0.7%","1.05","3.6%","2.6%","0.2%","2.6%","24.0%","","99.7%","98.0%","1.6%","0.3%","99.6%","40.7%","58.9%","0.4%","0.0%","0.0%","0.0%","100.0%","47,602","","2.8%","1.5%","2.6%","4.1%","6.7%","13.1%","13.6%","19.9%","9.3%","26.6%","","10.2%","14.2%","14.6%","13.1%","5.7%","15.6%","7.9%","8.3%","10.3%","27.7","","62,366","3.5%","25.6%","40.8%","30.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,414","","±1.4","±1.6","±0.7","±0.5","±0.2","±0.4","±0.01","±0.6","±0.5","±0.1","±0.6","±1.4","","±0.2","±0.5","±0.4","±0.2","±0.2","±1.5","±1.5","±0.2","±0.1","±0.1","±0.1","±0.1","±1,382","","±0.6","±0.4","±0.8","±0.8","±0.9","±1.1","±1.2","±1.6","±0.9","±1.4","","±1.2","±1.2","±1.3","±1.2","±0.8","±1.5","±0.9","±0.8","±1.2","±0.8","","±1,413","±0.6","±1.8","±1.8","±1.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","891,705","","75.7%","66.9%","8.9%","6.6%","1.4%","0.9%","1.07","3.2%","1.8%","0.3%","1.9%","17.0%","","99.7%","96.1%","3.6%","0.3%","99.5%","63.0%","36.5%","0.5%","0.0%","0.0%","0.0%","100.0%","739,888","","5.0%","3.9%","3.8%","8.6%","7.3%","13.8%","9.2%","13.7%","6.1%","28.6%","","7.0%","10.0%","14.0%","13.7%","5.9%","17.6%","8.6%","10.3%","12.9%","30.7","","888,974","2.8%","22.0%","39.4%","35.8%","","17.6%","20.6%","21.4%","31.1%","25.9%","2.1%"
"        Margin of Error","±6,486","","±0.5","±0.5","±0.3","±0.2","±0.1","±0.1","±0.01","±0.2","±0.1","±0.1","±0.1","±0.4","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±6,563","","±0.2","±0.2","±0.2","±0.3","±0.3","±0.4","±0.2","±0.3","±0.2","±0.5","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.4","±0.3","±0.3","±0.3","±0.2","","±6,481","±0.2","±0.5","±0.6","±0.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","479,223","","77.5%","68.9%","8.6%","6.3%","1.4%","1.0%","1.07","3.0%","1.6%","0.5%","1.9%","15.6%","","99.6%","95.2%","4.4%","0.4%","99.5%","61.4%","38.1%","0.5%","0.0%","0.0%","0.0%","100.0%","404,686","","6.1%","5.1%","4.7%","10.4%","7.4%","13.2%","7.8%","12.9%","5.3%","27.0%","","6.4%","9.1%","13.3%","13.2%","5.7%","18.5%","8.6%","10.7%","14.5%","32.1","","477,601","2.7%","20.7%","39.9%","36.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±4,301","","±0.6","±0.6","±0.3","±0.3","±0.1","±0.1","±0.01","±0.2","±0.1","±0.1","±0.2","±0.5","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.6","±0.6","±0.1","±0.1","±0.1","±0.1","±0.1","±4,524","","±0.3","±0.3","±0.3","±0.4","±0.4","±0.5","±0.3","±0.4","±0.3","±0.6","","±0.4","±0.4","±0.4","±0.4","±0.3","±0.6","±0.4","±0.4","±0.4","±0.3","","±4,332","±0.2","±0.5","±0.7","±0.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","412,482","","73.7%","64.5%","9.2%","7.0%","1.4%","0.8%","1.07","3.5%","2.0%","0.1%","1.9%","18.7%","","99.8%","97.2%","2.7%","0.2%","99.6%","64.9%","34.7%","0.4%","0.0%","0.0%","0.0%","100.0%","335,202","","3.6%","2.4%","2.6%","6.5%","7.2%","14.5%","10.8%","14.7%","7.0%","30.6%","","7.8%","11.2%","14.9%","14.2%","6.1%","16.6%","8.6%","9.8%","10.8%","28.9","","411,373","3.0%","23.6%","38.8%","34.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±4,547","","±0.6","±0.7","±0.4","±0.4","±0.2","±0.1","±0.01","±0.2","±0.2","±0.1","±0.2","±0.5","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.6","±0.6","±0.1","±0.1","±0.1","±0.1","±0.1","±4,169","","±0.3","±0.2","±0.2","±0.4","±0.4","±0.5","±0.4","±0.5","±0.4","±0.6","","±0.4","±0.5","±0.5","±0.5","±0.3","±0.5","±0.4","±0.4","±0.4","±0.3","","±4,514","±0.2","±0.7","±0.7","±0.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,796","","53.6%","50.6%","3.0%","2.3%","0.2%","0.5%","1.03","2.8%","5.4%","2.7%","2.5%","33.1%","","99.0%","97.1%","1.9%","1.0%","100.0%","52.5%","47.5%","0.0%","0.0%","0.0%","0.0%","100.0%","33,315","","1.5%","1.9%","2.1%","4.7%","6.4%","9.7%","12.0%","16.6%","12.2%","32.9%","","11.0%","15.5%","14.7%","12.5%","5.7%","16.0%","8.8%","8.6%","7.2%","25.8","","49,721","4.8%","40.5%","41.4%","13.3%","","13.9%","15.7%","13.9%","26.8%","21.7%","1.7%"
"        Margin of Error","±1,263","","±2.3","±2.4","±0.8","±0.6","±0.2","±0.3","±0.01","±0.6","±0.9","±0.7","±0.9","±2.1","","±0.4","±0.6","±0.5","±0.4","±0.1","±2.4","±2.4","±0.1","±0.1","±0.1","±0.1","±0.1","±1,457","","±0.5","±0.9","±0.8","±1.0","±1.6","±1.6","±1.8","±1.7","±1.6","±2.4","","±1.7","±1.9","±2.1","±1.5","±1.2","±1.7","±1.4","±1.6","±1.5","±1.2","","±1,252","±1.1","±2.6","±2.9","±2.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,697","","53.0%","50.8%","2.3%","1.5%","0.1%","0.7%","1.03","3.4%","5.7%","3.6%","2.2%","32.1%","","98.6%","95.9%","2.7%","1.4%","100.0%","51.4%","48.6%","0.0%","0.0%","0.0%","0.0%","100.0%","16,772","","1.7%","1.9%","1.6%","6.7%","4.9%","10.3%","10.9%","18.6%","8.9%","34.5%","","13.5%","12.9%","13.1%","12.7%","5.5%","17.1%","9.7%","8.4%","6.9%","25.9","","24,625","5.6%","37.1%","43.2%","14.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±977","","±3.1","±3.1","±0.8","±0.5","±0.2","±0.6","±0.01","±1.0","±1.3","±1.1","±0.9","±2.9","","±0.6","±1.1","±0.9","±0.6","±0.2","±3.3","±3.3","±0.2","±0.2","±0.2","±0.2","±0.2","±1,066","","±0.8","±1.0","±1.0","±1.9","±1.3","±2.5","±2.4","±2.5","±1.7","±4.0","","±2.6","±2.6","±2.4","±2.2","±1.6","±2.6","±2.4","±2.1","±1.4","±1.4","","±965","±1.5","±3.0","±3.5","±2.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,099","","54.2%","50.4%","3.8%","3.1%","0.4%","0.3%","1.04","2.1%","5.1%","1.7%","2.8%","34.1%","","99.4%","98.2%","1.1%","0.6%","100.0%","53.7%","46.3%","0.0%","0.0%","0.0%","0.0%","100.0%","16,543","","1.3%","1.8%","2.5%","2.6%","8.0%","9.1%","13.2%","14.6%","15.6%","31.3%","","8.5%","18.1%","16.2%","12.3%","5.9%","14.9%","7.9%","8.7%","7.6%","25.6","","25,096","4.1%","43.8%","39.6%","12.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,243","","±3.4","±3.6","±1.2","±1.0","±0.4","±0.2","±0.01","±0.7","±1.4","±0.6","±1.3","±3.1","","±0.4","±0.5","±0.4","±0.4","±0.2","±3.4","±3.4","±0.2","±0.2","±0.2","±0.2","±0.2","±1,318","","±0.7","±1.3","±1.4","±1.0","±2.9","±1.9","±2.4","±2.7","±2.8","±3.3","","±2.0","±2.7","±3.6","±2.1","±1.9","±2.4","±1.7","±2.5","±2.6","±1.8","","±1,244","±1.2","±3.3","±3.7","±2.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91,585","","86.3%","74.3%","12.0%","7.4%","2.5%","2.1%","1.09","1.2%","0.9%","0.0%","2.0%","9.5%","","99.8%","94.9%","4.9%","0.2%","94.1%","29.6%","64.4%","5.9%","0.0%","0.0%","0.0%","100.0%","82,870","","13.9%","7.5%","4.7%","11.3%","5.8%","14.4%","6.2%","9.7%","2.5%","23.9%","","5.7%","9.2%","16.3%","13.1%","3.0%","7.7%","4.0%","10.5%","30.5%","41.1","","91,468","2.3%","12.1%","30.8%","54.9%","","16.0%","18.2%","22.4%","31.7%","25.1%","2.1%"
"        Margin of Error","±2,383","","±1.1","±1.5","±1.0","±0.8","±0.5","±0.4","±0.01","±0.3","±0.2","±0.1","±0.5","±0.8","","±0.1","±0.5","±0.5","±0.1","±0.7","±1.5","±1.6","±0.7","±0.1","±0.1","±0.1","±0.1","±2,322","","±1.1","±0.7","±0.6","±1.2","±0.8","±1.1","±0.6","±0.9","±0.6","±1.4","","±0.8","±0.9","±1.2","±1.0","±0.4","±0.8","±0.5","±0.9","±1.2","±1.0","","±2,407","±0.5","±1.1","±1.8","±1.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
