OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
4379,06037600801,1,1,3245,0.4,8655.2,District 2,SPA 8 - South Bay,City of Inglewood,10452395.7001953,13346.961277135
4380,06037535400,1,1,3495,0.4,9479.5,District 2,SPA 6 - South,Unincorporated - Florence-Firestone,8299926.84472656,16001.8266735574
4381,06037535603,1,1,3493,0.3,11532.8,District 4,SPA 7 - East,City of South Gate,8458968.29101563,15286.440729242
4382,06037535605,1,1,4153,0.2,22888.1,District 4,SPA 7 - East,City of South Gate,5058629.87695313,9024.6628258163
4383,06037600704,1,1,2971,0.4,8305.7,District 2,SPA 8 - South Bay,City of Inglewood,10377163.0947266,13200.4834157559
4384,06037551201,1,1,3588,0.3,11782.3,District 4,SPA 7 - East,City of Downey,8490008.3125,12891.1870500207
4385,06037229300,1,1,5498,0.2,28343.3,District 2,SPA 6 - South,Los Angeles - South Park,5413557.88671875,9545.17204139352
4386,06037551202,1,1,7666,0.5,14171.2,District 4,SPA 7 - East,City of Downey,15081671.4794922,15730.8294769699
4387,06037551300,1,1,5422,0.6,9177.3,District 4,SPA 7 - East,City of Downey,16471450.9189453,16647.2760989347
4388,06037551600,1,1,31,0.4,88,District 4,SPA 7 - East,City of Downey,9826691.96191406,15784.6089230639
4389,06037600502,1,1,2355,0.3,8138.6,District 2,SPA 8 - South Bay,City of Inglewood,7157859.56542969,12990.4144987924
4390,06037600902,1,1,6613,0.3,21397.9,District 2,SPA 8 - South Bay,City of Inglewood,8615976.18066406,13421.1392055137
4391,06037600911,1,1,3349,0.3,12697.6,District 2,SPA 8 - South Bay,City of Inglewood,7353051.34179688,11395.3814772199
4392,06037530102,1,1,5116,0.5,10021.9,District 1,SPA 7 - East,City of Montebello,14231460.3564453,15917.5900494787
4393,06037535702,1,1,5522,0.4,14673.1,District 4,SPA 7 - East,City of South Gate,10491974.1474609,13532.5378337059
4394,06037536000,1,1,3720,0.5,7371.1,District 4,SPA 7 - East,City of South Gate,14069887.4326172,16164.2070271953
4395,06037530005,1,1,4346,0.9,4925.5,District 1,SPA 7 - East,City of Montebello,24598285.6181641,30609.9046632116
4396,06037535701,1,1,6050,0.3,20308.7,District 4,SPA 7 - East,City of South Gate,8305237.51953125,12501.4795179345
4397,06037530500,1,1,4567,0.3,13136.5,District 1,SPA 7 - East,Unincorporated - East Los Angeles,9694241.74316406,12762.8231763611
4398,06037601211,1,1,2823,0.2,12610.4,District 2,SPA 8 - South Bay,City of Inglewood,6241067.77636719,10199.3802998114
4399,06037530202,1,1,4063,0.7,5852.1,District 1,SPA 7 - East,City of Montebello,19392247.3623047,21192.3831249364
4400,06037530204,1,1,3682,0.3,14234.9,District 1,SPA 7 - East,City of Montebello,7211051.19824219,11616.6248517869
4401,06037535802,1,1,6814,0.3,22164.3,District 4,SPA 7 - East,City of South Gate,8571030.64941406,12476.0414596601
4402,06037535803,1,1,4458,0.2,27306,District 4,SPA 7 - East,City of South Gate,4551608.71679688,8613.45335036608
4403,06037535606,1,1,1860,0.1,25928.7,District 4,SPA 7 - East,City of South Gate,1999911.26464844,7508.65185404712
4404,06037540102,1,1,6972,0.5,14438.9,District 4,SPA 6 - South,City of Lynwood,13461838.3916016,15522.6503158042
4405,06037535607,1,1,4775,0.4,13138.2,District 4,SPA 7 - East,City of South Gate,10132673.9326172,14535.3221500922
4406,06037540203,1,1,5594,0.3,16076,District 4,SPA 6 - South,City of Lynwood,9701045.30957031,13117.2633472039
4407,06037540202,1,1,6845,0.3,23447.1,District 4,SPA 6 - South,City of Lynwood,8138975.85253906,12574.5422339117
4408,06037224420,1,1,2369,0.1,17106.1,District 2,SPA 6 - South,Los Angeles - University Park,3860691.09472656,8969.15257493538
4409,06037540000,1,1,6973,0.6,10830.7,District 4,SPA 6 - South,City of Lynwood,18410580.7177734,19660.0076659078
4410,06037240010,1,1,3673,0.2,16166.7,District 2,SPA 6 - South,Los Angeles - Green Meadows,6334028.80371094,12212.8368841106
4411,06037540101,1,1,6483,0.5,13383.6,District 4,SPA 6 - South,City of Lynwood,13504799.5537109,17413.8345898452
4412,06037601212,1,1,6511,0.2,28823.2,District 2,SPA 8 - South Bay,City of Inglewood,6297809.91113281,10124.4865180225
4413,06037551900,1,1,5344,0.6,8975.9,District 4,SPA 7 - East,City of Norwalk,16885159.8330078,17317.7196849642
4414,06037601001,1,1,2154,0.3,6310.7,District 2,SPA 8 - South Bay,City of Inglewood,9515760.63574219,14262.1659860584
4415,06037552200,1,1,6835,0.7,10469.7,District 4,SPA 7 - East,City of Norwalk,18191293.4541016,22322.3719459517
4416,06037601301,1,1,1915,0.2,8071.8,District 2,SPA 8 - South Bay,City of Inglewood,6614180.8671875,11072.3689030301
4417,06037600912,1,1,5517,0.4,13170,District 2,SPA 8 - South Bay,City of Inglewood,11710912.6279297,15517.8701655178
4418,06037601202,1,1,4115,0.3,16289.6,District 2,SPA 8 - South Bay,City of Inglewood,7042733.87402344,10682.0501927989
4419,06037601302,1,1,6856,0.5,14553.9,District 2,SPA 8 - South Bay,City of Inglewood,13128637.4091797,19669.3956270932
4420,06037530302,1,1,6556,0.3,19839.3,District 1,SPA 7 - East,Unincorporated - East Los Angeles,9212524.83691406,13426.0697566543
4421,06037530400,1,1,3683,0.6,6229.3,District 1,SPA 7 - East,City of Monterey Park,16601273.2617188,18725.9474109739
4422,06037274100,1,1,4418,0.2,18219.3,District 2,SPA 5 - West,Los Angeles - Venice,6760340.48632813,14311.7177035505
4423,06037211500,1,1,4355,0.4,12408.1,District 2,SPA 4 - Metro,Los Angeles - Hancock Park,9784605.4453125,13106.0192424946
4424,06037530602,1,1,1590,0.3,6205.7,District 1,SPA 7 - East,Unincorporated - East Los Angeles,7142079.78320313,14401.9789415043
4425,06037540400,1,1,2384,0.1,18171.9,District 2,SPA 6 - South,Unincorporated - Willowbrook,3656872.27929688,8271.51904258669
4426,06037540600,1,1,4271,0.4,11803.5,District 2,SPA 6 - South,Unincorporated - Willowbrook,10088025.5693359,12916.1245532969
4427,06037540800,1,1,5042,0.8,6595.2,District 2,SPA 6 - South,Unincorporated - Willowbrook,21444894.3085938,26470.9547193813
4428,06037540901,1,1,4994,0.4,11117.5,District 2,SPA 6 - South,Unincorporated - Athens Village,12527118.7460938,15839.9425876635
4429,06037540902,1,1,4506,1,4640.1,District 2,SPA 6 - South,Unincorporated - Willowbrook,27085463.5253906,20791.9962194808
4430,06037273800,1,1,3107,0.3,10850.7,District 3,SPA 5 - West,Los Angeles - Venice,7982883.83691406,16482.2990605358
4431,06037552400,1,1,2794,0.4,7767.8,District 4,SPA 7 - East,City of Norwalk,10084830.3320313,15765.981995225
4432,06037222100,1,1,3877,0.2,20966.1,District 2,SPA 6 - South,Los Angeles - Adams-Normandie,5155227.47949219,10486.772054442
4433,06037222200,1,1,3965,0.2,21311.4,District 2,SPA 6 - South,Los Angeles - Adams-Normandie,5186781.96386719,10532.8445632358
4434,06037530802,1,1,3668,0.2,16758.6,District 1,SPA 7 - East,Unincorporated - East Los Angeles,6095832.59179688,14533.6741477576
4435,06037265304,1,1,3570,0.1,70590.7,District 3,SPA 5 - West,Los Angeles - Westwood,1409868.22753906,5886.18108760813
4436,06037552602,1,1,4191,0.5,7896.7,District 4,SPA 7 - East,City of Norwalk,14798209.8046875,16631.8103999677
4437,06037221500,1,1,3507,0.1,23857.5,District 2,SPA 6 - South,Los Angeles - West Adams,4098035.11816406,8382.81942982525
4438,06037221710,1,1,2621,0.1,20698.9,District 2,SPA 6 - South,Los Angeles - West Adams,3530350.1328125,8106.015673154
4439,06037221900,1,1,3664,0.2,23160.4,District 2,SPA 6 - South,Los Angeles - University Park,4410383.76171875,10631.1439975642
4440,06037920041,2,2,2871,0.7,4110.1,District 5,SPA 2 - San Fernando,City of Santa Clarita,19471477.7226563,21199.0222686178
