OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
2991,06037221303,1,1,2551,0.1,28239.3,District 2,SPA 4 - Metro,Los Angeles - Harvard Heights,2518370.87988281,6486.09399021374
2992,06037920102,2,2,5668,237.7,23.8,District 5,SPA 2 - San Fernando,Unincorporated - Castaic,6758949736.4668,433408.219110788
2993,06037106112,1,1,5969,1.2,4789.8,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,34685911.9121094,50011.7045552522
2994,06037106604,1,1,5020,1,4992.9,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,28203053.5917969,26326.1705501162
2995,06037106113,1,1,3493,0.6,6290.5,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,15535764.4160156,19829.4070253054
2996,06037106403,1,1,3825,0.4,8960,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,11899848.7216797,14300.5664002265
2997,06037211202,1,1,2645,0.1,38235,District 2,SPA 4 - Metro,Los Angeles - Wilshire Center,1928500.75488281,5559.51969355688
2998,06037103101,1,1,2670,0.8,3406.9,District 5,SPA 2 - San Fernando,Los Angeles - Sunland,21846686.8544922,25422.1276369579
2999,06037103102,1,1,4751,0.5,9915.2,District 5,SPA 2 - San Fernando,Los Angeles - Sunland,13357089.84375,16530.3942608672
3000,06037403902,1,1,4806,0.8,5890.8,District 5,SPA 3 - San Gabriel,City of Glendora,22743652.4208984,18644.0437469412
3001,06037910605,1,1,4535,0.5,8743.6,District 5,SPA 1 - Antelope Valley,City of Palmdale,14529007.2558594,16156.2196667974
3002,06037910714,1,1,3596,0.4,9282.8,District 5,SPA 1 - Antelope Valley,City of Palmdale,10804986.9658203,13480.6614115136
3003,06037570403,1,1,4587,0.2,20817.9,District 4,SPA 8 - South Bay,City of Long Beach,6143132.46289063,10592.8621745468
3004,06037403901,1,1,3110,0.5,6403.3,District 5,SPA 3 - San Gabriel,City of Glendora,13539511.0429688,16955.1584462923
3005,06037462600,1,1,2324,0.4,5740,District 5,SPA 3 - San Gabriel,City of Pasadena,11286691.0371094,15930.8083302682
3006,06037900201,3,3,1261,90.8,13.9,District 5,SPA 1 - Antelope Valley,Unincorporated - Roosevelt,2534000168.57031,230016.209874501
3007,06037127606,1,1,3164,0.2,15003.9,District 3,SPA 2 - San Fernando,Los Angeles - Lake Balboa,5852103.90234375,9732.73095121146
3008,06037920114,2,2,6490,1.1,5933.7,District 5,SPA 2 - San Fernando,City of Santa Clarita,30513570.5458984,36655.2313278074
3009,06037402801,1,1,5170,0.7,7421.5,District 1,SPA 3 - San Gabriel,City of Pomona,19463716.2558594,21962.576260925
3010,06037127712,1,1,2991,0.2,13647.4,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,6135104.69042969,9824.35696908134
3011,06037404000,1,1,4474,0.5,8800.5,District 1,SPA 3 - San Gabriel,Unincorporated - Azusa,14214037.6699219,16043.4704273295
3012,06037404100,1,1,6445,0.5,12376.1,District 1,SPA 3 - San Gabriel,Unincorporated - Azusa,14517892.8095703,16224.373140055
3013,06037404301,1,1,5665,0.4,13248.4,District 1,SPA 3 - San Gabriel,City of Azusa,11920269.5742188,13965.5928811889
3014,06037131701,1,1,4541,0.3,17828.9,District 3,SPA 2 - San Fernando,Los Angeles - Reseda,7100111.06347656,10658.5007842773
3015,06037404401,1,1,3979,0.6,7098.7,District 1,SPA 3 - San Gabriel,City of Azusa,15612529.5400391,20034.4975404654
3016,06037431200,1,1,6439,0.6,11267.6,District 5,SPA 3 - San Gabriel,Unincorporated - Duarte,15946461.0927734,20325.0110684724
3017,06037431300,1,1,2661,0.3,8471.4,District 5,SPA 3 - San Gabriel,Unincorporated - Monrovia,8768438.47070313,14366.6111822682
3018,06037431400,1,1,3970,0.6,6501.1,District 5,SPA 3 - San Gabriel,Unincorporated - Arcadia,19344607.1005859,21321.1663920268
3019,06037431600,1,1,4018,0.8,5051.1,District 5,SPA 3 - San Gabriel,City of Arcadia,22174843.3164063,22281.2074555489
3020,06037113233,1,1,6655,0.4,15067.6,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,12312299.59375,16704.3350135309
3021,06037113234,1,1,4667,0.4,11932.3,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,11009763.3173828,16791.6076989613
3022,06037431700,1,1,6433,1.2,5263.8,District 5,SPA 3 - San Gabriel,City of Arcadia,34068773.3457031,23852.0928426248
3023,06037402902,1,1,6445,0.7,9059.8,District 1,SPA 3 - San Gabriel,City of Pomona,19861682.875,20771.7790587899
3024,06037403000,1,1,6835,0.9,7325.7,District 1,SPA 3 - San Gabriel,City of Pomona,26031458.9794922,25904.900868828
3025,06037214100,1,1,3944,0.4,9216.9,District 2,SPA 4 - Metro,Los Angeles - Hancock Park,11929138.3632813,14127.6878458442
3026,06037403200,1,1,391,0.9,419.5,District 1,SPA 3 - San Gabriel,City of Pomona,27134401.5878906,23938.2845058597
3027,06037404702,1,1,5882,0.4,13193,District 1,SPA 3 - San Gabriel,City of Baldwin Park,12445835.1855469,16228.6206018962
3028,06037272201,1,1,2411,0.1,24016.9,District 3,SPA 5 - West,Los Angeles - Mar Vista,2798671.17480469,6700.25079792754
3029,06037404801,1,1,7305,0.5,13578.3,District 1,SPA 3 - San Gabriel,City of Baldwin Park,14997926.9394531,17210.3023296051
3030,06037218900,1,1,5464,0.3,20118.9,District 2,SPA 6 - South,Los Angeles - West Adams,7571353.92675781,11505.7198201805
3031,06037404703,1,1,3178,0.5,6658.9,District 1,SPA 3 - San Gabriel,City of Baldwin Park,14169391.8388672,23655.8089312052
3032,06037403312,1,1,5160,2.7,1904.4,District 1,SPA 3 - San Gabriel,City of Industry,74870045.1484375,37761.0960264324
3033,06037115104,1,1,4444,0.4,11282.2,District 3,SPA 2 - San Fernando,Los Angeles - Northridge,10980251.0683594,20303.802988532
3034,06037119201,1,1,4137,0.4,11310,District 3,SPA 2 - San Fernando,Los Angeles - Arleta,10248164.6474609,12948.1075654388
3035,06037404402,1,1,5107,1.3,3954.1,District 1,SPA 3 - San Gabriel,City of Azusa,36231952.8134766,28016.4539493552
3036,06037134521,1,1,3126,0.1,23014.3,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,3786331.37890625,8186.67072307059
3037,06037404802,1,1,4335,0.4,10777.3,District 1,SPA 3 - San Gabriel,City of Baldwin Park,11219898.7636719,15474.9239417123
3038,06037117405,1,1,3442,0.1,44168.4,District 3,SPA 2 - San Fernando,Los Angeles - North Hills,2172354.12402344,5943.24060922375
3039,06037700902,1,1,6517,0.4,17684.9,District 3,SPA 5 - West,City of Beverly Hills,10273223.6464844,12943.3694402751
3040,06037212304,1,1,1804,0.1,22716.7,District 2,SPA 4 - Metro,Los Angeles - Koreatown,2213842.59472656,6305.42567397869
3041,06037191500,1,1,5551,0.2,22415.6,District 1,SPA 4 - Metro,Los Angeles - East Hollywood,6903622.40234375,10328.4442932073
3042,06037103300,1,1,3819,2.4,1610.4,District 5,SPA 2 - San Fernando,Los Angeles - Shadow Hills,66105762.0673828,37338.6861621306
3043,06037102105,1,1,1731,0.2,9108.2,District 5,SPA 2 - San Fernando,Los Angeles - Sun Valley,5303654.19628906,9962.25112647048
3044,06037104821,1,1,3514,0.2,17113.9,District 3,SPA 2 - San Fernando,Los Angeles - Pacoima,5723796.18261719,11302.2410366629
3045,06037106408,1,1,3463,0.1,39179.8,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,2465456.70605469,6295.67878405799
3046,06037135113,1,1,2795,0.2,11247.5,District 3,SPA 2 - San Fernando,Los Angeles - Woodland Hills,6927095.90917969,13080.9626383991
3047,06037920331,2,2,4075,0.6,7012.2,District 5,SPA 2 - San Fernando,City of Santa Clarita,16066940.0283203,16608.889096075
3048,06037125501,1,1,3077,0.2,17171.9,District 5,SPA 2 - San Fernando,Los Angeles - North Hollywood,4995201.97167969,9227.60363387911
3049,06037920339,2,2,7377,13,566.4,District 5,SPA 2 - San Fernando,Unincorporated - Stevenson Ranch,365364988.863281,87207.181661159
3050,06037930101,2,2,119,60.1,2,District 5,SPA 3 - San Gabriel,Unincorporated - Angeles National Forest,1676388446.11523,351845.374700894
3051,06037700901,1,1,3856,0.4,9464.5,District 3,SPA 5 - West,City of Beverly Hills,11341285.1171875,18848.9630314753
3052,06037204910,1,1,3105,0.2,15514.8,District 1,SPA 4 - Metro,Los Angeles - Boyle Heights,5579346.58398438,9619.43138991475
3053,06037920332,2,2,2337,1.6,1418.7,District 5,SPA 2 - San Fernando,City of Santa Clarita,45969371.2324219,36354.7352415026
3054,06037910404,1,1,4130,1,4155.4,District 5,SPA 1 - Antelope Valley,City of Palmdale,27724821.8378906,20703.4489751713
3055,06037910205,1,1,1371,10.9,125.9,District 5,SPA 1 - Antelope Valley,Unincorporated - Anaverde,314673388.295898,80632.300810411
3056,06037212306,1,1,3052,0.1,48817.9,District 2,SPA 4 - Metro,Los Angeles - Koreatown,1742887.42675781,5316.96091811893
3057,06037800204,1,1,6740,3.7,1833.7,District 3,SPA 2 - San Fernando,City of Calabasas,86628059.9521484,58746.06170302
3058,06037571703,1,1,3667,0.2,23894.3,District 4,SPA 8 - South Bay,City of Long Beach,4278800.19824219,9704.9890008228
3059,06037134304,1,1,2882,0.4,7314.8,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,10983172.2949219,13572.0927666139
3060,06037910001,1,1,5742,28.5,201.8,District 5,SPA 1 - Antelope Valley,Unincorporated - Sun Village,792794497.967773,123065.148769133
3061,06037237500,1,1,2675,0.1,20538.5,District 2,SPA 6 - South,Los Angeles - Harvard Park,3631027.8125,8245.23339820355
3062,06037910602,1,1,3995,0.8,5177.2,District 5,SPA 1 - Antelope Valley,City of Palmdale,21530790.2050781,21298.2172692143
3063,06037134422,1,1,4684,0.9,5192.5,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,25274220.3544922,25532.2056564162
3064,06037134520,1,1,5453,0.4,14857.1,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,10410480.7724609,13162.398281199
3065,06037134901,1,1,3069,0.4,7547.6,District 3,SPA 2 - San Fernando,Los Angeles - Reseda,11430800.7753906,15182.4449119446
3066,06037135102,1,1,3513,0.6,5462.7,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,17957992.3417969,18952.7247074841
3067,06037135111,1,1,2967,0.4,7448.8,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,11190548.4980469,13450.5211049596
3068,06037910603,1,1,7075,1,6966,District 5,SPA 1 - Antelope Valley,City of Palmdale,28310493.1884766,21245.7439395386
3069,06037910705,1,1,11415,2.2,5162.7,District 5,SPA 1 - Antelope Valley,City of Palmdale,61811674.6308594,30952.7841028166
3070,06037135202,1,1,4255,0.7,6252.3,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,18971223.8291016,17817.5533084583
3071,06037134800,1,1,5949,0.7,8287.3,District 3,SPA 2 - San Fernando,Los Angeles - Winnetka,20174641.8447266,18585.3803028014
3072,06037533402,1,1,4105,0.2,21893.2,District 4,SPA 7 - East,City of Maywood,5227309.40722656,9807.48357176998
3073,06037533501,1,1,3090,0.2,18953.7,District 4,SPA 7 - East,City of Huntington Park,4545068.57128906,8907.2086475079
3074,06037576503,1,1,4454,0.1,36999.5,District 4,SPA 8 - South Bay,City of Long Beach,3356437.59570313,7911.51439917528
3075,06037216200,1,1,4911,0.4,13188.7,District 2,SPA 4 - Metro,Los Angeles - Miracle Mile,10380745.4628906,13967.312409567
3076,06037920017,2,2,4342,0.8,5436.1,District 5,SPA 2 - San Fernando,City of Santa Clarita,22354788.9326172,20513.9150501279
3077,06037920018,2,2,2277,0.4,6095.7,District 5,SPA 2 - San Fernando,City of Santa Clarita,10412819.6162109,13125.238725291
3078,06037920023,2,2,2598,0.5,5010.2,District 5,SPA 2 - San Fernando,City of Santa Clarita,15096937.3828125,20940.9109474537
3079,06037218600,1,1,3142,0.2,18908.3,District 2,SPA 6 - South,Los Angeles - Longwood,4635201.61328125,8987.92736110265
3080,06037134710,1,1,5287,0.2,24177.9,District 3,SPA 2 - San Fernando,Los Angeles - Winnetka,6141778.73242188,9944.81241149784
3081,06037218110,1,1,3453,0.2,14940.2,District 2,SPA 4 - Metro,Los Angeles - Victoria Park,6443242.09570313,12758.8563100515
3082,06037701000,1,1,5431,0.5,9883.4,District 3,SPA 5 - West,City of Beverly Hills,15311685.6933594,18861.2809525707
3083,06037701201,1,1,4433,0.7,5912.2,District 3,SPA 5 - West,City of Santa Monica,20903331.7158203,18461.2513495379
3084,06037123203,1,1,3765,0.2,16705.8,District 3,SPA 2 - San Fernando,Los Angeles - North Hollywood,6324538.2109375,12755.8729622344
3085,06037219500,1,1,1737,0.2,8068.4,District 2,SPA 6 - South,Los Angeles - Crenshaw District,6001852.04882813,10424.7034061145
3086,06037701802,1,1,4463,0.5,9256.3,District 3,SPA 5 - West,City of Santa Monica,13441697.9511719,15298.9502085916
3087,06037702201,1,1,4483,0.5,9642.6,District 3,SPA 5 - West,City of Santa Monica,12961164.3154297,15231.6518923442
3088,06037701202,1,1,3268,0.2,20913.4,District 3,SPA 5 - West,City of Santa Monica,4356378.67675781,9141.42532197721
3089,06037218210,1,1,4457,0.1,29714.6,District 2,SPA 4 - Metro,Los Angeles - St Elmo Village,4181546.29980469,8771.28053868177
3090,06037216300,1,1,4526,0.5,9209.4,District 2,SPA 4 - Metro,Los Angeles - Miracle Mile,13700729.0712891,18947.3795127886
3091,06037123420,1,1,4638,0.3,15428.2,District 3,SPA 2 - San Fernando,Los Angeles - Valley Glen,8467648.12011719,14727.1038228679
3092,06037900602,1,1,5214,2,2647.4,District 5,SPA 1 - Antelope Valley,City of Lancaster,55347821.8671875,31565.5083592477
3093,06037134302,1,1,3732,0.5,7437.4,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,14066022.3720703,15260.7808573119
3094,06037134303,1,1,5057,0.6,8413.2,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,17059177.7773438,17236.4565151357
3095,06037134421,1,1,3941,0.8,4781.8,District 3,SPA 2 - San Fernando,Los Angeles - West Hills,22974725.8046875,19313.3316329061
3096,06037219020,1,1,4798,0.3,17105.1,District 2,SPA 6 - South,Los Angeles - Jefferson Park,7819932.02539063,11239.4544830686
3097,06037920029,2,2,3574,0.9,4136,District 5,SPA 2 - San Fernando,City of Santa Clarita,23467245.7138672,27440.450525565
3098,06037701502,1,1,3841,0.2,16303.2,District 3,SPA 5 - West,City of Santa Monica,6568032.05859375,12372.1555766944
3099,06037701302,1,1,4684,0.2,26598.9,District 3,SPA 5 - West,City of Santa Monica,4909289.984375,9926.76677645543
3100,06037701501,1,1,4986,0.2,20913.8,District 3,SPA 5 - West,City of Santa Monica,6646394.93066406,12368.1106484147
3101,06037701602,1,1,4037,0.3,15829.2,District 3,SPA 5 - West,City of Santa Monica,7110015.77539063,13129.8541861084
3102,06037701701,1,1,3196,0.3,12607.8,District 3,SPA 5 - West,City of Santa Monica,7066995.92578125,13121.9046220341
3103,06037702501,1,1,4625,0.5,8979.9,District 2,SPA 5 - West,City of Culver City,14464966.2148438,16130.3095076749
3104,06037702700,1,1,3440,0.5,6645.4,District 2,SPA 5 - West,City of Culver City,14542216.4951172,17600.4888257316
3105,06037208610,1,1,4195,0.1,31030.7,District 1,SPA 4 - Metro,Los Angeles - Historic Filipinotown,3768762.34960938,8269.48766223732
3106,06037702502,1,1,4048,0.7,5830.1,District 2,SPA 5 - West,City of Culver City,19538286.8115234,25975.9774818385
3107,06037702600,1,1,6069,0.8,7266.2,District 2,SPA 5 - West,City of Culver City,23398949.8066406,24162.5385318437
3108,06037576904,1,1,3288,0.1,23261.8,District 4,SPA 8 - South Bay,City of Long Beach,3941030.99511719,8609.28980442584
3109,06037702802,1,1,2282,0.2,9779.6,District 2,SPA 5 - West,City of Culver City,6566533.84570313,15448.8736117884
3110,06037900605,1,1,7100,2,3493.4,District 5,SPA 1 - Antelope Valley,City of Lancaster,56682089.2851563,31890.0031647333
3111,06037900606,1,1,3721,0.7,5529.2,District 5,SPA 1 - Antelope Valley,City of Lancaster,18758987.8808594,20787.7963761001
3112,06037701702,1,1,3106,0.2,13253.1,District 3,SPA 5 - West,City of Santa Monica,6533599.43847656,12326.4458614348
3113,06037402304,1,1,3848,0.3,14291.4,District 1,SPA 3 - San Gabriel,City of Pomona,7506213.95117188,14825.4554145973
3114,06037701801,1,1,5867,0.7,8000.1,District 3,SPA 5 - West,City of Santa Monica,20444827.6972656,19303.7204995742
3115,06037219901,1,1,5234,0.2,25826.3,District 2,SPA 6 - South,Los Angeles - Alsace,5649851.875,10076.126203629
3116,06037702901,1,1,8866,0.9,10332.6,District 2,SPA 5 - West,Unincorporated - Marina del Rey,40556665.5351563,26015.4578056783
3117,06037213201,1,1,4198,0.1,32461.6,District 2,SPA 4 - Metro,Los Angeles - Koreatown,3605253.45605469,8208.73857762052
3118,06037128302,1,1,4688,0.3,17625.7,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,7414485.41210938,12437.5243626808
3119,06037134306,1,1,3498,0.2,14616.9,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,6671154.88183594,10337.909846585
3120,06037208301,1,1,2201,0,61328.7,District 1,SPA 4 - Metro,Los Angeles - Temple-Beaudry,1000535.28320313,5183.16153819549
3121,06037703001,1,1,5889,1.8,3215.5,District 2,SPA 5 - West,Unincorporated - Ladera Heights,51096392.3076172,42781.3005616878
3122,06037703002,1,1,6605,1.3,5268.2,District 2,SPA 5 - West,Unincorporated - Ladera Heights,34980712.8212891,28029.6142105349
3123,06037900900,2,2,3813,81.8,46.6,District 5,SPA 1 - Antelope Valley,Unincorporated - Del Sur,2298915588.84277,198250.912092972
3124,06037119320,1,1,4694,0.2,24992.8,District 3,SPA 2 - San Fernando,Los Angeles - Panorama City,5345155.57910156,9352.1331167645
3125,06037920326,2,2,6840,26.3,259.7,District 5,SPA 2 - San Fernando,Unincorporated - Stevenson Ranch,734180038.851563,155643.678065786
3126,06037218220,1,1,4358,0.3,16777,District 2,SPA 4 - Metro,Los Angeles - Lafayette Square,7241641.64746094,11685.4751953659
3127,06037551401,1,1,4290,0.3,15181.6,District 4,SPA 7 - East,City of Downey,7878125.56933594,11758.0861608961
3128,06037651401,1,1,2614,0.4,6737.6,District 4,SPA 8 - South Bay,City of Torrance,10823802.3867188,22282.4731225769
3129,06037213310,1,1,3477,0.1,28855.2,District 2,SPA 4 - Metro,Los Angeles - Koreatown,3359268.734375,7825.23735562967
3130,06037670324,1,1,5127,1.8,2803.5,District 4,SPA 8 - South Bay,City of Palos Verdes Estates,57382406.7050781,47706.1689871216
3131,06037236400,1,1,4113,0.5,7946.8,District 2,SPA 6 - South,Los Angeles - Baldwin Hills,14429101.3203125,19388.9599555708
3132,06037542200,1,1,6962,0.5,13573.4,District 2,SPA 6 - South,City of Compton,14902119.1875,17021.4105155593
3133,06037218500,1,1,2869,0.2,14194.2,District 2,SPA 6 - South,Los Angeles - Cloverdale/Cochran,5632253.48730469,11047.4082436599
3134,06037532102,1,1,3574,0.4,9221.9,District 1,SPA 7 - East,City of Montebello,10995567.8085938,13604.829201854
3135,06037480201,1,1,3907,0.6,6613.5,District 1,SPA 3 - San Gabriel,City of San Gabriel,16487685.0927734,19152.9528238715
3136,06037430501,1,1,4172,1.8,2297,District 5,SPA 3 - San Gabriel,City of Sierra Madre,50744599.5117188,33044.1398739789
3137,06037216800,1,1,3289,0.3,11513.9,District 2,SPA 4 - Metro,Los Angeles - South Carthay,7963488.42675781,11547.7847142895
3138,06037216900,1,1,5060,0.4,11973.2,District 2,SPA 4 - Metro,Los Angeles - Mid-city,11781573.1416016,15088.4860155054
3139,06037217200,1,1,3905,0.4,11004.6,District 2,SPA 4 - Metro,Los Angeles - Mid-city,9892604.83691406,15006.4887045559
3140,06037218300,1,1,5520,0.3,16038.7,District 2,SPA 4 - Metro,Los Angeles - Cloverdale/Cochran,9696120.90917969,17311.9468665218
3141,06037218400,1,1,4714,0.3,18592.7,District 2,SPA 6 - South,Los Angeles - Cloverdale/Cochran,7068249.54882813,12186.9978966189
3142,06037271702,1,1,4134,0.3,15291.7,District 3,SPA 5 - West,Los Angeles - Palms,7604859.16992188,13325.6822502505
3143,06037531202,1,1,4747,0.2,27482.2,District 1,SPA 7 - East,Unincorporated - East Los Angeles,4814912.72753906,10576.9732063609
3144,06037224410,1,1,3140,0.2,17924.7,District 2,SPA 6 - South,Los Angeles - University Park,4878835.60644531,10535.0544147028
3145,06037267404,1,1,2806,0.1,25549.6,District 3,SPA 5 - West,Los Angeles - West Los Angeles,3061703.58496094,7371.04429914504
3146,06037267300,1,1,3680,0.2,22166.4,District 3,SPA 5 - West,Los Angeles - West Los Angeles,4631659.71875,8676.53927401277
3147,06037218800,1,1,2658,0.2,16723.6,District 2,SPA 6 - South,Los Angeles - West Adams,4430886.00585938,9005.06537533788
3148,06037571503,1,1,3700,0.4,10542.4,District 4,SPA 8 - South Bay,City of Long Beach,9785120.57226563,15094.3451812051
3149,06037190201,1,1,2870,0.1,32765.9,District 3,SPA 4 - Metro,Los Angeles - Hollywood,2441732.82226563,6951.86166664776
3150,06037208620,1,1,4660,0.1,37213.5,District 1,SPA 4 - Metro,Los Angeles - Temple-Beaudry,3491004.90917969,8197.49640207984
3151,06037220100,1,1,2334,0.4,6169.9,District 2,SPA 6 - South,Los Angeles - Baldwin Hills,10552863.3056641,16990.5975630606
3152,06037221210,1,1,3300,0.1,23822.2,District 2,SPA 4 - Metro,Los Angeles - Harvard Heights,3861959.83105469,8419.21242163146
3153,06037221220,1,1,3378,0.3,13267.9,District 2,SPA 4 - Metro,Los Angeles - Harvard Heights,7097658.14550781,10529.4777746938
3154,06037221302,1,1,4403,0.2,24675.6,District 2,SPA 4 - Metro,Los Angeles - Harvard Heights,4974458.96386719,10183.1033871698
3155,06037231500,1,1,4752,0.4,13389.4,District 2,SPA 6 - South,Los Angeles - West Vernon,9894305.6875,12798.5165336442
3156,06037430723,1,1,4118,0.2,21927.5,District 5,SPA 3 - San Gabriel,City of Arcadia,5235291.41699219,12934.5540724347
3157,06037432901,1,1,4464,0.4,10189.4,District 1,SPA 3 - San Gabriel,City of Rosemead,12213303.390625,14095.2093043356
3158,06037115103,1,1,2776,0.6,4724.9,District 3,SPA 2 - San Fernando,Los Angeles - Northridge,16345329.9091797,22256.5317322198
3159,06037900804,1,1,3489,0.6,6241.6,District 5,SPA 1 - Antelope Valley,City of Lancaster,15877840.9970703,16713.2426706313
3160,06037900805,1,1,5089,1,4996.8,District 5,SPA 1 - Antelope Valley,City of Lancaster,28395563.1308594,21300.462023103
3161,06037900806,1,1,3620,0.7,5220.9,District 5,SPA 1 - Antelope Valley,City of Lancaster,19327049.34375,17961.4523822038
3162,06037301100,1,1,6491,0.5,12639.1,District 5,SPA 2 - San Fernando,City of Glendale,14474900.3896484,18435.345243011
3163,06037301204,1,1,4990,0.2,31605.9,District 5,SPA 2 - San Fernando,City of Glendale,4401250.36328125,8682.85878733063
3164,06037301300,1,1,2016,0.4,4482.4,District 5,SPA 2 - San Fernando,City of Glendale,12537926.1523438,19797.0578829375
3165,06037134001,1,1,3765,0.2,16774,District 3,SPA 2 - San Fernando,Los Angeles - Canoga Park,6280518.71777344,12140.6624699485
3166,06037302102,1,1,6439,0.4,16074.1,District 5,SPA 2 - San Fernando,City of Glendale,11167200.6777344,18320.2102351072
3167,06037302104,1,1,3917,0.2,17758.8,District 5,SPA 2 - San Fernando,City of Glendale,6128932.0234375,12263.7871438627
3168,06037208903,1,1,4019,0.1,65347.6,District 1,SPA 4 - Metro,Los Angeles - Westlake,1714528.61816406,7038.48088478603
3169,06037302201,1,1,3856,0.2,20067.4,District 5,SPA 2 - San Fernando,City of Glendale,5356510.09570313,10679.6714719421
3170,06037302301,1,1,3790,0.3,14011.9,District 5,SPA 2 - San Fernando,City of Glendale,7540439.8515625,13199.0993926941
3171,06037310300,1,1,2987,0.4,7290.2,District 5,SPA 2 - San Fernando,City of Burbank,11421840.6923828,18611.3591434528
3172,06037920042,2,2,6769,1.5,4662.1,District 5,SPA 2 - San Fernando,City of Santa Clarita,40474346.9609375,39444.1474182858
3173,06037700700,1,1,3479,1.4,2552,District 3,SPA 5 - West,City of Beverly Hills,37997765.7412109,32341.1292709267
3174,06037131702,1,1,3751,0.3,13543.7,District 3,SPA 2 - San Fernando,Los Angeles - Reseda,7761381.8671875,11155.236635798
3175,06037405001,1,1,6170,0.6,9536.5,District 1,SPA 3 - San Gabriel,City of Baldwin Park,18315694.2792969,19373.8453599414
3176,06037199201,1,1,4089,0.2,26798.3,District 1,SPA 4 - Metro,Los Angeles - Lincoln Heights,4253708.5859375,8935.66056431229
3177,06037542501,1,1,4307,0.2,19316.6,District 2,SPA 6 - South,City of Compton,6299647.17675781,12013.5388719487
3178,06037700600,1,1,5537,2.2,2524.9,District 3,SPA 5 - West,City of Beverly Hills,61182491.8242188,47176.3867717877
3179,06037310400,1,1,3379,0.5,6221.3,District 5,SPA 2 - San Fernando,City of Burbank,15141126.6835938,20340.4888145732
3180,06037102107,1,1,3851,5,772.7,District 5,SPA 2 - San Fernando,Los Angeles - Sunland,139083341.111328,63679.4342694719
3181,06037910502,1,1,4086,0.8,5281.5,District 5,SPA 1 - Antelope Valley,City of Palmdale,21564768.2900391,18776.368871731
3182,06037188300,1,1,3536,0.3,10112.2,District 1,SPA 4 - Metro,Los Angeles - Atwater Village,9933262.07421875,12689.0294094181
3183,06037405002,1,1,3197,0.3,9289.4,District 1,SPA 3 - San Gabriel,City of Baldwin Park,9594232.6484375,12793.7270063145
3184,06037405102,1,1,5069,0.4,13710.3,District 1,SPA 3 - San Gabriel,City of Baldwin Park,10363378.2285156,15579.7993887546
3185,06037901003,1,1,6188,1,6157.4,District 5,SPA 1 - Antelope Valley,City of Lancaster,28035970.2148438,21202.3997548962
3186,06037408501,1,1,3314,0.3,9791.2,District 1,SPA 3 - San Gabriel,Unincorporated - Hacienda Heights,9299052.15527344,16427.9844447473
3187,06037199900,1,1,2683,0.2,15685.7,District 1,SPA 4 - Metro,Los Angeles - Lincoln Heights,4768480.09960938,10157.8099669405
3188,06037431900,1,1,3828,0.4,9273.4,District 5,SPA 3 - San Gabriel,City of Temple City,11507648.7304688,14771.4675937135
3189,06037405202,1,1,5227,0.4,14123.9,District 1,SPA 3 - San Gabriel,City of Baldwin Park,10260640.5664063,13428.7538663826
3190,06037405203,1,1,3484,0.3,12544.8,District 1,SPA 3 - San Gabriel,City of Baldwin Park,7742325.1953125,13629.333161484
3191,06037408401,1,1,4289,0.4,9630.9,District 1,SPA 3 - San Gabriel,Unincorporated - Hacienda Heights,12473307.5771484,17022.3764043328
3192,06037576401,1,1,4779,0.1,38200,District 4,SPA 8 - South Bay,City of Long Beach,3488157.55761719,7928.1387231827
3193,06037431800,1,1,5640,0.6,9850.2,District 5,SPA 3 - San Gabriel,City of Temple City,15961114.5439453,16098.6238288465
3194,06037208802,1,1,2906,0.1,35587.2,District 1,SPA 4 - Metro,Los Angeles - Westlake,2276467.58984375,7699.4836416055
3195,06037432101,1,1,4179,0.5,9231.9,District 5,SPA 3 - San Gabriel,City of Temple City,12619282.6728516,14413.6962830556
3196,06037570502,1,1,6616,0.8,8577.1,District 4,SPA 8 - South Bay,City of Long Beach,21506057.9501953,19952.4514600237
3197,06037215102,1,1,3110,0.1,31257.6,District 2,SPA 4 - Metro,Los Angeles - Miracle Mile,2773747.77539063,8165.78604576523
3198,06037572002,1,1,4409,0.4,10916.3,District 4,SPA 8 - South Bay,City of Long Beach,11260956.8115234,13979.3347700551
